Name,Week,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,5,3,79,0,0,0.37,0.06,1,0,0.2,0,0,6
Gabriel,5,5,90,0,0,0,0.02,1,0,0.3,0,0,23
Havertz,5,1,10,0,0,0,0,0,0,0.1,0,0,4
G.Jesus,5,1,24,0,0,0,0,0,0,0.19,0,0,-1
Jorginho,5,0,0,0,0,0,0,0,0,0,0,0,0
Kiwior,5,0,0,0,0,0,0,0,0,0,0,0,0
Martinelli,5,1,23,0,0,0,0.01,0,0,0,0,0,2
Nketiah,5,2,65,0,0,0.04,0.01,1,0,0.11,0,0,3
Odegaard,5,3,90,0,0,0.31,0.08,1,0,0.3,0,0,12
Thomas,5,0,0,0,0,0,0,0,0,0,0,0,0
Ramsdale,5,0,0,0,0,0,0,0,0,0,0,0,0
Saka,5,6,90,0,1,0,0.14,1,0,0.3,0,0,20
Saliba,5,6,90,0,0,0,0.01,1,0,0.3,0,0,27
Smith Rowe,5,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,5,1,37,0,0,0,0.02,0,0,0.37,0,0,4
Tomiyasu,5,1,10,0,0,0,0,0,0,0.1,0,0,2
Trossard,5,11,66,1,0,0.09,0.05,1,0,0.3,0,3,35
Turner,5,2,90,0,0,0,0,0,1,0.56,2,0,15
White,5,7,90,0,0,0.04,0.13,1,0,0.3,0,1,28
Zinchenko,5,7,79,0,0,0.08,0.13,1,0,0.2,0,1,28
Archer,5,1,90,0,0,0,0.07,0,2,1.87,0,0,-2
Bailey,5,5,33,1,0,0.77,0.04,0,0,0.8,0,0,19
Cash,5,1,90,0,0,0.68,0.04,0,1,1.17,0,0,6
Coutinho,5,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,5,0,0,0,0,0,0,0,0,0,0,0,0
Digne,5,5,90,0,1,0.03,0.21,0,1,1.17,0,0,19
Douglas Luiz,5,10,90,1,0,0.79,0.1,0,1,1.17,0,3,41
Duran,5,5,19,1,0,0.1,0,0,0,0.35,0,1,23
Kamara,5,1,57,0,0,0,0.03,0,1,0.37,0,0,7
Konsa,5,2,90,0,0,0,0.02,0,1,1.17,0,0,15
Martinez,5,2,90,0,0,0,0,0,1,1.17,2,0,13
McGinn,5,1,70,0,0,0,0.06,0,1,0.82,0,0,6
Mings,5,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,5,2,90,0,0,0,0,0,1,0.98,0,0,19
Olsen,5,0,0,0,0,0,0,0,0,0,0,0,0
Tielemans,5,1,32,0,0,0.08,0.03,0,0,0.8,0,0,3
Bertrand Traore,5,0,0,0,0,0,0,0,0,0,0,0,0
Watkins,5,5,90,0,1,0.61,0.04,0,1,1.17,0,0,9
Billing,5,3,90,0,0,0.29,0.02,1,0,1.71,0,0,12
Brooks,5,1,1,0,0,0,0.04,0,0,0,0,0,4
Christie,5,3,88,0,0,0.02,0.41,1,0,1.71,0,0,18
L.Cook,5,3,90,0,0,0.04,0.02,1,0,1.71,0,0,19
Kelly,5,8,90,0,0,0,0.02,1,0,1.71,0,2,32
Kluivert,5,1,27,0,0,0.05,0.55,0,0,1.04,0,0,5
Lowe,5,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,5,0,0,0,0,0,0,0,0,0,0,0,0
Moore,5,0,0,0,0,0,0,0,0,0,0,0,0
N.Neto,5,10,90,0,0,0,0,1,0,1.71,6,2,32
Rothwell,5,0,0,0,0,0,0,0,0,0,0,0,0
Semenyo,5,0,0,0,0,0,0,0,0,0,0,0,0
Senesi,5,1,16,0,0,0,0,0,0,0.5,0,0,4
Solanke,5,2,90,0,0,0.4,0.03,1,0,1.71,0,0,2
Tavernier,5,3,72,0,0,0.07,0.02,1,0,1.21,0,0,11
Hamed Traorè,5,0,0,0,0,0,0,0,0,0,0,0,0
Zabarnyi,5,6,90,0,0,0,0,1,0,1.71,0,0,23
Ajer,5,0,0,0,0,0,0,0,0,0,0,0,0
Collins,5,1,90,0,0,0,0.02,0,1,1.43,0,0,13
Damsgaard,5,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,5,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,5,1,90,0,0,0,0,0,1,1.43,1,0,6
Henry,5,1,41,0,0,0,0.01,0,0,0.58,0,0,7
Hickey,5,1,81,0,0,0.04,0,0,1,1.43,0,0,6
Janelt,5,2,71,0,0,0,0.02,0,1,1.43,0,0,15
Jensen,5,2,90,0,0,0,0.22,0,1,1.43,0,0,15
Lewis-Potter,5,1,8,0,0,0.02,0.16,0,0,0,0,0,6
Mbeumo,5,2,90,0,0,0.08,0.02,0,1,1.43,0,0,4
Mee,5,2,71,0,0,0,0,0,1,1.43,0,0,12
Norgaard,5,1,71,0,0,0.08,0.01,0,1,1.43,0,0,6
Onyeka,5,1,18,0,0,0,0,0,0,0,0,0,4
Pinnock,5,2,90,0,0,0,0,0,1,1.43,0,0,13
Raya,5,8,90,0,0,0,0,1,0,0.3,1,2,30
Schade,5,1,18,0,0,0,0,0,0,0,0,0,2
Toney,5,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,5,1,90,0,0,0.3,0.06,0,1,1.43,0,0,1
Adingra,5,5,84,0,1,0,0.15,0,1,0.96,0,0,21
Caicedo,5,0,0,0,0,0,0,0,0,0,0,0,0
Dahoud,5,2,76,0,0,0,0,0,1,0.96,0,0,12
Dunk,5,2,90,0,0,0,0.01,0,1,0.96,0,0,17
Enciso,5,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,5,0,0,0,0,0,0,0,0,0,0,0,0
Ferguson,5,1,5,0,0,0.1,0,0,0,0,0,0,1
Gilmour,5,1,13,0,0,0,0.16,0,0,0,0,0,6
Gross,5,10,90,1,0,0.34,0.01,0,1,0.96,0,3,34
Joao Pedro,5,7,26,1,0,0.1,0.15,0,1,0.23,0,2,33
Lallana,5,3,63,0,0,0,0.01,1,0,0.73,0,0,7
Lamptey,5,7,76,0,2,0.02,0.08,0,1,0.96,0,0,29
March,5,0,0,0,0,0,0,0,0,0,0,0,0
Milner,5,1,13,0,0,0,0,0,0,0,0,0,2
Mitoma,5,2,90,0,0,0.15,0.03,0,1,0.96,0,0,-1
Sanchez,5,10,90,0,0,0,0,1,0,1.19,4,3,37
Steele,5,3,90,0,0,0,0,0,1,0.96,3,0,20
Van Hecke,5,1,90,0,0,0,0.01,0,1,0.96,0,0,13
Veltman,5,2,90,0,0,0,0.01,0,1,0.96,0,0,22
Verbruggen,5,0,0,0,0,0,0,0,0,0,0,0,0
Webster,5,0,0,0,0,0,0,0,0,0,0,0,0
Welbeck,5,7,63,1,0,0.55,0.02,1,0,0.73,0,1,31
Al-Dakhil,5,2,90,0,0,0.04,0,0,1,0.72,0,0,15
Benson,5,0,0,0,0,0,0,0,0,0,0,0,0
Beyer,5,3,87,0,0,0,0.01,0,1,0.64,0,1,17
Brownhill,5,2,90,0,0,0.07,0.01,0,1,0.72,0,0,15
Cork,5,0,0,0,0,0,0,0,0,0,0,0,0
Cullen,5,1,90,0,0,0,0.02,0,1,0.72,0,0,11
Foster,5,2,90,0,1,0.15,0.01,0,1,0.75,0,0,5
Gudmundsson,5,2,62,0,0,0,0.03,0,1,0.52,0,0,9
O'Shea,5,0,0,0,0,0,0,0,0,0,0,0,0
Roberts,5,1,90,0,0,0,0.02,0,1,0.72,0,0,10
Rodriguez,5,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,5,2,90,0,0,0.02,0.01,0,1,0.72,0,0,10
Vitinho,5,0,0,0,0,0,0,0,0,0,0,0,0
Chalobah,5,0,0,0,0,0,0,0,0,0,0,0,0
Chilwell,5,0,10,0,0,0,0,0,0,0.09,0,0,0
Chukwuemeka,5,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,5,6,79,0,0,0.52,0,1,0,1.1,0,0,21
Cucurella,5,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,5,3,80,0,0,0.02,0.03,1,0,1.1,0,0,10
W.Fofana,5,0,0,0,0,0,0,0,0,0,0,0,0
Gallagher,5,3,90,0,0,0.21,0.24,1,0,1.19,0,0,14
Gusto,5,6,90,0,0,0.02,0.06,1,0,1.19,0,0,26
Hudson-Odoi,5,10,70,1,0,0.13,0.21,0,1,0.19,0,3,30
James,5,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,5,0,0,0,0,0,0,0,0,0,0,0,0
Mount,5,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,5,2,62,0,0,0,0.41,1,0,0.56,0,0,4
N.Jackson,5,1,90,0,0,0.21,0.07,1,0,1.19,0,0,-4
Nkunku,5,0,0,0,0,0,0,0,0,0,0,0,0
M.Sarr,5,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,5,2,90,0,0,0.39,0.3,1,0,1.19,0,0,3
T.Silva,5,6,90,0,0,0,0.01,1,0,1.19,0,0,26
Ahamada,5,1,1,0,0,0,0,0,2,1.43,0,0,3
Andersen,5,1,90,0,0,0,0.19,0,3,3.21,0,0,16
J.Ayew,5,1,24,0,0,0,0,0,0,0.3,0,0,3
C.Doucoure,5,2,90,0,0,0,0.26,0,2,2.57,0,0,22
Edouard,5,8,89,1,0,0.31,0.03,0,1,1.78,0,2,30
Eze,5,1,90,0,0,0.41,0.25,0,3,3.21,0,0,3
Guehi,5,0,0,0,0,0,0,0,0,0,0,0,0
Hughes,5,1,90,0,0,0,0.01,0,3,3.21,0,0,12
Johnstone,5,1,90,0,0,0,0,0,3,3.21,2,0,13
Lerma,5,0,0,0,0,0,0,0,0,0,0,0,0
Mateta,5,5,65,0,1,0,0.08,0,3,2.91,0,0,13
Mitchell,5,1,90,0,0,0,0.01,0,3,3.21,0,0,14
Olise,5,0,0,0,0,0,0,0,0,0,0,0,0
Schlupp,5,2,90,0,0,0,0.02,0,3,3.21,0,0,10
Tomkins,5,0,0,0,0,0,0,0,0,0,0,0,0
Ward,5,0,90,0,0,0.45,0,0,3,3.21,0,0,2
Branthwaite,5,2,90,0,0,0,0,0,1,1.02,0,0,14
Calvert-Lewin,5,1,24,0,0,0.1,0.02,0,1,0.47,0,0,4
A.Doucoure,5,2,79,0,0,0,0,0,1,1.02,0,0,14
Garner,5,1,10,0,0,0,0,0,0,0,0,0,3
Godfrey,5,0,0,0,0,0,0,0,0,0,0,0,0
Gana,5,2,90,0,0,0.07,0.01,0,1,1.02,0,0,6
Iwobi,5,1,28,0,0,0.11,0.01,0,0,0.42,0,0,6
Keane,5,0,0,0,0,0,0,0,0,0,0,0,0
Maupay,5,1,18,0,0,0.01,0.01,0,0,0,0,0,3
McNeil,5,2,87,0,0,0.06,0.01,0,1,1.02,0,0,2
Mykolenko,5,2,90,0,0,0.01,0.01,0,1,1.02,0,0,10
Onana,5,2,90,0,0,0,0,0,1,1.02,0,0,7
Patterson,5,1,3,0,0,0,0.02,0,0,0,0,0,6
Pickford,5,3,90,0,0,0,0.02,0,1,1.02,3,0,16
Tarkowski,5,2,90,0,0,0,0,0,1,1.02,0,0,10
Andreas,5,3,80,0,0,0,0.36,1,0,0.86,0,0,14
Cairney,5,1,9,0,0,0,0,0,0,0.42,0,0,3
De Cordova-Reid,5,1,9,0,0,0,0.01,0,0,0.42,0,0,4
Diop,5,5,90,0,0,0,0.05,1,0,1.28,0,0,23
Leno,5,6,90,0,0,0,0,1,0,1.28,2,0,22
Lukic,5,0,0,0,0,0,0,0,0,0,0,0,0
J.Palhinha,5,3,90,0,0,0.07,0.02,1,0,1.28,0,0,9
Ream,5,8,90,0,0,0,0.06,1,0,1.28,0,2,28
Reed,5,3,61,0,0,0,0.02,1,0,0.86,0,0,13
Robinson,5,0,0,0,0,0,0,0,0,0,0,0,0
Tete,5,6,90,0,0,0.19,0.13,1,0,1.28,0,0,22
Tosin,5,0,0,0,0,0,0,0,0,0,0,0,0
H.Wilson,5,3,80,0,0,0.1,0.06,1,0,0.86,0,0,11
Alexander-Arnold,5,0,0,0,0,0,0,0,0,0,0,0,0
A.Becker,5,2,90,0,0,0,0,0,1,0.63,1,0,14
Bajcetic,5,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,5,1,34,0,0,0.17,0.23,0,0,0.23,0,0,-2
Diogo J.,5,1,55,0,0,0.14,0.1,0,1,0.4,0,0,6
Elliott,5,3,34,0,1,0.09,0.14,0,0,0.23,0,0,13
Gakpo,5,6,55,1,0,1.08,0.01,0,1,0.4,0,1,24
Gomez,5,2,90,0,0,0,0.06,0,1,0.63,0,0,16
Jones,5,1,90,0,0,0,0.03,0,1,0.63,0,0,12
Konate,5,1,7,0,0,0,0.01,0,0,0.12,0,0,9
Luis Diaz,5,1,45,0,0,0.26,0.46,0,0,0.23,0,0,3
Mac Allister,5,0,45,0,0,0,0.01,0,1,0.4,0,0,2
Matip,5,2,90,0,0,0,0.02,0,1,0.63,0,0,21
Phillips,5,0,0,0,0,0,0,0,0,0,0,0,0
Robertson,5,11,90,1,0,0.42,0.11,0,1,0.63,0,3,36
Salah,5,10,90,0,2,0.24,1.47,0,1,0.63,0,2,35
Szoboszlai,5,2,90,0,0,0.15,0.07,0,1,0.63,0,0,15
Thiago,5,0,0,0,0,0,0,0,0,0,0,0,0
Tsimikas,5,0,0,0,0,0,0,0,0,0,0,0,0
Virgil,5,0,0,0,0,0,0,0,0,0,0,0,0
Adebayo,5,1,15,0,0,0,0.01,0,0,0.05,0,0,4
M.Andersen,5,2,90,0,0,0,0,0,1,0.98,0,0,13
Bell,5,2,90,0,0,0.37,0,0,1,0.98,0,0,4
Burke,5,2,81,0,0,0,0,0,1,0.93,0,0,11
Doughty,5,1,16,0,0,0,0.22,0,0,0.05,0,0,2
McAtee,5,0,0,0,0,0,0,0,0,0,0,0,0
Morris,5,2,73,0,0,0.09,0,0,1,0.93,0,0,0
Ogbene,5,1,16,0,0,0,0.01,0,0,0.05,0,0,3
Woodrow,5,1,9,0,0,0.11,0,0,0,0.05,0,0,2
Akanji,5,2,90,0,0,0,0.04,0,1,0.94,0,0,16
Ake,5,1,1,0,0,0,0,0,0,0,0,0,3
J.Alvarez,5,9,90,0,2,0.06,0.43,0,1,0.94,0,1,37
Bernardo,5,13,90,1,1,0.35,0.56,0,1,0.94,0,3,49
De Bruyne,5,0,0,0,0,0,0,0,0,0,0,0,0
Ruben,5,2,90,0,0,0.19,0.04,0,1,0.94,0,0,11
Ederson M.,5,2,90,0,0,0,0,0,1,0.94,2,0,12
Foden,5,2,66,0,0,0.15,0.16,0,1,0.92,0,0,11
Grealish,5,0,0,0,0,0,0,0,0,0,0,0,0
Haaland,5,6,90,1,0,2.56,0.03,0,1,0.94,0,0,15
Kovačic,5,0,0,0,0,0,0,0,0,0,0,0,0
R.Lewis,5,1,1,0,0,0,0,0,0,0,0,0,3
Palmer,5,1,27,0,0,0.17,0.02,0,0,0.63,0,0,4
Rodrigo,5,1,90,0,0,0.2,1.12,0,1,0.94,0,0,17
Sergio Gomez,5,1,1,0,0,0,0,0,0,0.02,0,0,2
Stones,5,0,0,0,0,0,0,0,0,0,0,0,0
Walker,5,2,90,0,0,0,0.15,0,1,0.94,0,0,20
Antony,5,0,0,0,0,0,0,0,0,0,0,0,0
B.Fernandes,5,1,90,0,0,0.07,0.47,0,3,1.89,0,0,8
Casemiro,5,2,63,0,0,0,0.01,0,2,0.9,0,0,12
Dalot,5,1,90,0,0,0,0.04,0,3,1.89,0,0,17
Elanga,5,2,90,0,0,0.03,0.27,0,1,0.56,0,0,7
Eriksen,5,2,90,0,0,0,0.02,0,3,1.89,0,0,13
Garnacho,5,1,5,0,0,0,0,0,0,0.74,0,0,0
Lindelof,5,1,90,0,0,0.15,0.01,0,3,1.89,0,0,16
Maguire,5,0,0,0,0,0,0,0,0,0,0,0,0
Malacia,5,0,0,0,0,0,0,0,0,0,0,0,0
Martial,5,1,26,0,0,0,0,0,1,0.99,0,0,6
L.Martinez,5,4,84,0,1,0,0.01,0,3,1.16,0,0,24
McTominay,5,2,84,0,0,0,0.01,0,3,1.16,0,0,7
R.Varane,5,0,0,0,0,0,0,0,0,0,0,0,0
Rashford,5,2,90,0,0,0.68,0.03,0,3,1.89,0,0,8
Sancho,5,0,0,0,0,0,0,0,0,0,0,0,0
Shaw,5,0,0,0,0,0,0,0,0,0,0,0,0
Wan-Bissaka,5,1,5,0,0,0,0,0,0,0.74,0,0,5
Almiron,5,1,7,0,0,0,0,0,0,0.23,0,0,2
Anderson,5,3,90,0,0,0,0.05,1,0,0.54,0,0,10
Botman,5,9,90,0,0,0.08,0.01,1,0,0.54,0,3,30
Bruno G.,5,2,90,0,0,0.28,0.06,1,0,0.54,0,0,1
Burn,5,6,90,0,0,0,0.02,1,0,0.54,0,0,25
Isak,5,0,0,0,0,0,0,0,0,0,0,0,0
Joelinton,5,0,0,0,0,0,0,0,0,0,0,0,0
Longstaff,5,3,90,0,0,0,0.16,1,0,0.54,0,0,15
Pope,5,6,90,0,0,0,0,1,0,0.54,2,0,25
Schar,5,7,90,0,0,0.02,0,1,0,0.54,0,1,26
Targett,5,0,0,0,0,0,0,0,0,0,0,0,0
Tonali,5,0,0,0,0,0,0,0,0,0,0,0,0
Trippier,5,8,90,0,0,0.01,0.2,1,0,0.54,0,2,29
Wilson,5,5,90,1,0,0.98,0.08,1,0,0.54,0,0,23
Aurier,5,0,0,0,0,0,0,0,0,0,0,0,0
Awoniyi,5,5,87,0,1,0.08,0.04,0,1,0.28,0,0,16
Boly,5,0,0,0,0,0,0,0,0,0,0,0,0
Danilo,5,0,0,0,0,0,0,0,0,0,0,0,0
Dennis,5,0,0,0,0,0,0,0,0,0,0,0,0
Gibbs-White,5,2,90,0,0,0.27,0.06,0,1,0.56,0,0,16
Kouyate,5,0,0,0,0,0,0,0,0,0,0,0,0
Mangala,5,1,70,0,0,0.1,0.01,0,1,0.19,0,0,3
McKenna,5,2,90,0,0,0.02,0.07,0,1,0.56,0,0,13
Niakhate,5,0,0,0,0,0,0,0,0,0,0,0,0
Williams,5,0,0,0,0,0,0,0,0,0,0,0,0
Wood,5,1,2,0,0,0,0,0,0,0.28,0,0,2
Worrall,5,2,90,0,0,0,0,0,1,0.56,0,0,13
Yates,5,1,19,0,0,0,0,0,0,0.37,0,0,0
Ahmedhodzic,5,1,90,0,0,0,0.01,0,2,1.87,0,0,7
Baldock,5,0,0,0,0,0,0,0,0,0,0,0,0
Basham,5,0,90,0,0,0.1,0,0,2,1.87,0,0,3
Berge,5,1,26,0,0,0,0,0,0,0.2,0,0,5
Bogle,5,6,85,0,0,0,0.05,1,0,1.32,0,0,18
Egan,5,0,0,0,0,0,0,0,0,0,0,0,0
Fleck,5,0,0,0,0,0,0,0,0,0,0,0,0
Foderingham,5,3,90,0,0,0,0,0,2,1.87,8,1,26
McBurnie,5,-1,90,0,0,0.13,0.01,0,2,1.87,0,0,-8
Norwood,5,1,20,0,0,0.01,0,0,2,0.62,0,0,3
Osborn,5,0,0,0,0,0,0,0,0,0,0,0,0
Osula,5,0,0,0,0,0,0,0,0,0,0,0,0
Bentancur,5,0,0,0,0,0,0,0,0,0,0,0,0
Bissouma,5,1,90,0,0,0.25,0.22,0,1,0.58,0,0,12
Davies,5,0,0,0,0,0,0,0,0,0,0,0,0
E.Royal,5,1,1,0,0,0,0,0,0,0.01,0,0,2
Hojbjerg,5,1,1,0,0,0,0,0,0,0.01,0,0,3
Kulusevski,5,10,90,1,0,0.32,0.31,0,1,0.58,0,3,41
Lo Celso,5,0,0,0,0,0,0,0,0,0,0,0,0
Maddison,5,1,90,0,0,0.15,0.22,0,1,0.58,0,0,12
Pedro Porro,5,2,90,0,0,0.03,0.25,0,1,0.57,0,0,17
Perisic,5,3,10,0,1,0.08,0.15,0,0,0.01,0,0,13
Reguilon,5,1,84,0,0,0,0.03,0,3,1.16,0,0,13
Richarlison,5,8,10,1,1,0.29,0.05,0,0,0.01,0,0,24
Romero,5,2,90,0,0,0.06,0.09,0,1,0.58,0,0,16
Sarr,5,2,79,0,0,0.26,0.05,0,1,0.57,0,0,11
Skipp,5,0,0,0,0,0,0,0,0,0,0,0,0
Son,5,2,79,0,0,0.16,0.02,0,1,0.57,0,0,2
Udogie,5,2,90,0,0,0,0.06,0,1,0.58,0,0,16
Vicario,5,3,90,0,0,0,0,0,1,0.58,4,0,17
N.Aguerd,5,1,90,0,0,0.25,0,0,3,3.63,0,0,12
Antonio,5,2,66,0,0,0,0.01,0,1,2.84,0,0,7
Areola,5,4,90,0,0,0,0,0,3,3.63,10,0,29
Benrahma,5,1,22,0,0,0,0,0,2,0.79,0,0,3
Bowen,5,2,90,0,0,0,0.03,0,3,3.63,0,0,5
Cornet,5,0,0,0,0,0,0,0,0,0,0,0,0
Coufal,5,4,86,0,1,0,0.24,0,3,3.63,0,0,29
Cresswell,5,0,0,0,0,0,0,0,0,0,0,0,0
Emerson,5,1,90,0,0,0.06,0.01,0,3,3.63,0,0,11
P.Fornals,5,0,0,0,0,0,0,0,0,0,0,0,0
Ings,5,1,3,0,0,0,0,0,0,0,0,0,3
Kehrer,5,1,3,0,0,0,0,0,0,0,0,0,3
L.Paqueta,5,1,90,0,0,0,0.18,0,3,3.63,0,0,10
Rice,5,3,90,0,0,0.13,0.06,1,0,0.3,0,0,17
Souček,5,1,86,0,0,0,0.25,0,3,3.63,0,0,10
Zouma,5,1,90,0,0,0.06,0,0,3,3.63,0,0,11
Ait-Nouri,5,2,64,0,0,0,0.05,0,1,1.65,0,0,12
H.Bueno,5,-2,25,0,0,0,0,0,2,0.89,0,0,-5
Dawson,5,1,90,0,0,0.06,0.01,0,3,2.55,0,0,11
Fabio Silva,5,1,29,0,0,0,0,0,2,0.89,0,0,2
Giles,5,0,0,0,0,0,0,0,0,0,0,0,0
Hee Chan,5,6,59,1,0,0.11,0.01,0,1,1.65,0,0,19
Raul,5,2,61,0,0,0.07,0.02,1,0,0.86,0,0,4
Joao Gomes,5,2,90,0,0,0.01,0.01,0,3,2.55,0,0,20
Kalajdzic,5,0,0,0,0,0,0,0,0,0,0,0,0
Kilman,5,1,90,0,0,0.03,0,0,3,2.55,0,0,12
Lemina,5,2,77,0,0,0.04,0,0,1,1.85,0,0,14
Matheus N.,5,1,23,0,0,0,0.01,0,0,0.02,0,0,2
Neto,5,5,90,0,1,0.03,0.73,0,3,2.55,0,0,22
Jose Sa,5,2,90,0,0,0,0,0,3,2.55,3,0,15
Sarabia,5,0,0,0,0,0,0,0,0,0,0,0,0
N.Semedo,5,0,90,0,0,0.1,0.14,0,3,2.55,0,0,18
Lockyer,5,2,90,0,0,0.28,0,0,1,0.98,0,0,6
J.Robinson,5,3,90,0,1,0,0.01,0,2,1.87,0,0,18
Ogbonna,5,0,0,0,0,0,0,0,0,0,0,0,0
Mpanzu,5,1,15,0,0,0,0.02,0,0,0.05,0,0,3
Solomon,5,1,79,0,0,0.27,0.36,0,1,0.57,0,0,1
Pau,5,2,90,0,0,0,0.04,0,1,1.17,0,0,16
J.Timber,5,0,0,0,0,0,0,0,0,0,0,0,0
Chong,5,1,74,0,0,0.05,0,0,1,0.93,0,0,2
Slimane,5,0,0,0,0,0,0,0,0,0,0,0,0
Young,5,1,86,0,0,0,0.01,0,1,1.02,0,0,4
Cunha,5,2,60,0,0,0.09,0.07,0,1,1.65,0,0,8
Willian,5,6,90,0,1,0.08,0.1,1,0,1,0,0,22
Larouci,5,0,0,0,0,0,0,0,0,0,0,0,0
T.Benie,5,0,0,0,0,0,0,0,0,0,0,0,0
Amdouni,5,8,63,1,0,0.16,0.01,0,1,0.52,0,2,28
Kerkez,5,5,73,0,0,0,0.11,1,0,1.21,0,0,14
Trafford,5,2,90,0,0,0,0,0,1,0.72,3,0,16
A.Onana,5,2,90,0,0,0,0,0,3,1.89,5,0,18
Diaby,5,5,90,0,1,0.11,0.34,0,1,1.17,0,0,21
Redmond,5,0,0,0,0,0,0,0,0,0,0,0,0
Danjuma,5,2,90,0,0,0.06,0.01,0,1,1.02,0,0,8
Kabore,5,2,90,0,0,0.03,0.37,0,1,0.98,0,0,17
Barnes,5,3,82,0,0,0.06,0.02,1,0,0.31,0,0,4
Aina,5,2,90,0,0,0.03,0.01,0,1,0.56,0,0,12
Koleosho,5,2,75,0,0,0,0.03,0,1,0.59,0,0,5
Bruun Larsen,5,0,0,0,0,0,0,0,0,0,0,0,0
Maatsen,5,1,9,0,0,0.2,0.02,0,0,0.09,0,0,3
Bassey,5,1,1,0,0,0,0,0,0,0.28,0,0,3
Disasi,5,5,90,0,0,0,0,1,0,1.19,0,0,23
Ugochukwu,5,3,90,0,0,0,0.03,1,0,1.19,0,0,11
Kaminski,5,1,90,0,0,0,0.01,0,1,0.98,1,0,6
Gvardiol,5,1,90,0,0,0.08,0.36,0,1,0.94,0,0,15
Hojlund,5,2,63,0,0,0.03,0.06,0,2,0.9,0,0,3
Dobbin,5,0,0,0,0,0,0,0,0,0,0,0,0
Doak,5,0,0,0,0,0,0,0,0,0,0,0,0
Barkley,5,0,0,0,0,0,0,0,0,0,0,0,0
Brown,5,2,73,0,0,0.35,0.2,0,1,0.93,0,0,12
Vini Souza,5,2,90,0,0,0,0,0,2,1.87,0,0,14
Van de Ven,5,1,90,0,0,0,0.01,0,1,0.57,0,0,7
Alvarez,5,1,67,0,0,0,0,0,1,2.84,0,0,3
Aarons,5,6,90,0,0,0,0.05,1,0,1.71,0,0,26
Y. Chermiti,5,1,2,0,0,0,0,0,0,0,0,0,2
Onyango,5,0,0,0,0,0,0,0,0,0,0,0,0
Rak-Sakyi,5,1,1,0,0,0,0,0,1,0.64,0,0,3
Gordon,5,0,0,0,0,0,0,0,0,0,0,0,0
Adama,5,0,0,0,0,0,0,0,0,0,0,0,0
Hamer,5,10,80,1,0,0.08,0.19,1,0,1.32,0,2,31
Ward-Prowse,5,7,90,1,0,0.57,0.15,0,3,3.63,0,0,26
Lavia,5,0,0,0,0,0,0,0,0,0,0,0,0
Endo,5,0,0,0,0,0,0,0,0,0,0,0,0
Zaniolo,5,0,56,0,0,0.03,0.27,0,1,0.37,0,0,-3
Delcroix,5,1,3,0,0,0,0,0,0,0.08,0,0,3
A.Ramsey,5,0,0,0,0,0,0,0,0,0,0,0,0
Doku,5,9,89,1,0,0.09,0.63,0,1,0.92,0,2,38
G.Montiel,5,0,52,0,0,0,0.01,0,1,0.19,0,0,1
Johnson,5,0,0,0,0,0,0,0,0,0,0,0,0
Harris,5,0,0,0,0,0,0,0,0,0,0,0,0
Castagne,5,8,90,0,0,0.04,0.18,1,0,1.28,0,3,34
Kudus,5,1,23,0,0,0,0,0,2,0.79,0,0,7
Beto,5,2,65,0,0,0,0.01,1,0,0.55,0,0,5
L.Thomas,5,1,90,0,0,0,0,0,2,1.87,0,0,8
Lenglet,5,0,0,0,0,0,0,0,0,0,0,0,0
Ansu Fati,5,1,26,0,0,0.64,0.01,0,1,0.23,0,0,0
Sinisterra,5,1,17,0,0,0,0,0,0,0.5,0,0,1
Gravenberch,5,1,1,0,0,0,0,0,0,0,0,0,2
Amrabat,5,0,0,0,0,0,0,0,0,0,0,0,0
Origi,5,1,19,0,0,0,0,0,0,0.37,0,0,3
