Id,Gameweek,Home,Away,HomeGoals,AwayGoals,xHomeGoals,xAwayGoals
1,1,Burnley,ManCity,0,3,0.3,2.21
2,1,Arsenal,NottmForest,2,1,0.83,1.18
3,1,Bournemouth,WestHam,1,1,1.37,1.07
4,1,Brighton,Luton,4,1,4.1,1.45
5,1,Everton,Fulham,0,1,1.5,1.5
7,1,SheffieldUtd,CrystalPalace,0,1,0.49,2.01
6,1,Newcastle,AstonVilla,5,1,3.44,1.9
8,1,Brentford,Spurs,2,2,2.02,1.26
9,1,Chelsea,Liverpool,1,1,1.28,1.28
10,1,ManUtd,Wolves,1,0,1.46,1.5
17,2,NottmForest,SheffieldUtd,2,1,1.36,0.51
13,2,Fulham,Brentford,0,3,0.46,3.8
14,2,Liverpool,Bournemouth,3,1,3.08,1.29
20,2,Wolves,Brighton,1,4,2.06,2.27
18,2,Spurs,ManUtd,2,0,3.11,1.99
16,2,ManCity,Newcastle,1,0,1.09,0.29
11,2,AstonVilla,Everton,4,0,3.11,0.68
19,2,WestHam,Chelsea,3,1,1.8,2.45
12,2,CrystalPalace,Arsenal,0,1,1.06,2
26,3,Chelsea,Luton,3,0,2.09,0.43
22,3,Bournemouth,Spurs,0,2,0.67,2.06
21,3,Arsenal,Fulham,2,2,3.25,0.53
23,3,Brentford,CrystalPalace,1,1,0.97,0.8
27,3,Everton,Wolves,0,1,1.2,1.16
28,3,ManUtd,NottmForest,3,2,2.91,1.16
24,3,Brighton,WestHam,1,3,1.52,3.33
25,3,Burnley,AstonVilla,1,3,0.73,2.51
30,3,SheffieldUtd,ManCity,1,2,0.73,3.52
29,3,Newcastle,Liverpool,1,2,2,0.95
38,4,Luton,WestHam,1,2,1.43,1.06
40,4,SheffieldUtd,Everton,2,2,1.24,2.59
32,4,Brentford,Bournemouth,2,2,3.29,2.02
34,4,Burnley,Spurs,2,5,1.35,2.27
35,4,Chelsea,NottmForest,0,1,2.13,0.71
39,4,ManCity,Fulham,5,1,2.26,1.45
33,4,Brighton,Newcastle,3,1,1.42,1.3
36,4,CrystalPalace,Wolves,3,2,2.13,1.34
37,4,Liverpool,AstonVilla,3,0,2.47,0.66
31,4,Arsenal,ManUtd,3,1,1.24,0.96
50,5,Wolves,Liverpool,1,3,0.63,2.55
41,5,AstonVilla,CrystalPalace,3,1,3.21,1.17
44,5,Fulham,Luton,1,0,0.98,1.28
45,5,ManUtd,Brighton,1,3,0.96,1.02
48,5,Spurs,SheffieldUtd,2,1,1.87,0.58
49,5,WestHam,ManCity,1,3,0.94,3.63
46,5,Newcastle,Brentford,1,0,1.43,0.54
42,5,Bournemouth,Chelsea,0,0,1.19,1.71
43,5,Everton,Arsenal,0,1,0.3,1.02
47,5,NottmForest,Burnley,1,1,0.72,0.56
56,6,CrystalPalace,Fulham,0,0,0.3,0.59
58,6,Luton,Wolves,1,1,2.17,0.59
59,6,ManCity,NottmForest,2,0,1.33,1.03
52,6,Brentford,Everton,1,3,1.04,1.84
54,6,Burnley,ManUtd,0,1,1.12,0.91
51,6,Arsenal,Spurs,2,2,2.08,1.5
53,6,Brighton,Bournemouth,3,1,1.87,1.37
55,6,Chelsea,AstonVilla,0,1,1.35,1.04
57,6,Liverpool,WestHam,3,1,3.06,1.11
60,6,SheffieldUtd,Newcastle,0,8,0.94,3.94
61,7,AstonVilla,Brighton,6,1,1.58,1.71
62,7,Bournemouth,Arsenal,0,4,0.69,3.47
63,7,Everton,Luton,1,2,0,0.89
65,7,ManUtd,CrystalPalace,0,1,1.69,0.89
66,7,Newcastle,Burnley,2,0,0,0.65
69,7,WestHam,SheffieldUtd,2,0,2.14,1.07
70,7,Wolves,ManCity,2,1,0.44,0.87
68,7,Spurs,Liverpool,2,1,2.1,1.34
67,7,NottmForest,Brentford,1,1,0.47,1.7
64,7,Fulham,Chelsea,0,2,1.08,1.73
15,7,Luton,Burnley,1,2,0,0
77,8,Luton,Spurs,0,1,0.8,1.99
73,8,Burnley,Chelsea,1,4,0.75,1.58
75,8,Everton,Bournemouth,3,0,2.71,0.72
76,8,Fulham,SheffieldUtd,3,1,2.14,0.57
78,8,ManUtd,Brentford,2,1,1.43,0.72
74,8,CrystalPalace,NottmForest,0,0,0.81,1.18
72,8,Brighton,Liverpool,2,2,2.3,2.49
79,8,WestHam,Newcastle,2,2,1.22,1.95
80,8,Wolves,AstonVilla,1,1,1.19,1.65
71,8,Arsenal,ManCity,1,0,0.41,0.55
85,9,Liverpool,Everton,2,0,2.24,0.13
82,9,Bournemouth,Wolves,1,2,0.61,2.06
83,9,Brentford,Burnley,3,0,3.24,1.14
86,9,ManCity,Brighton,2,1,0.75,0.83
87,9,Newcastle,CrystalPalace,4,0,2.39,1.21
88,9,NottmForest,Luton,2,2,2.97,1.71
84,9,Chelsea,Arsenal,2,2,1.36,1.06
89,9,SheffieldUtd,ManUtd,1,2,1.38,1.05
81,9,AstonVilla,WestHam,4,1,2.02,1.15
90,9,Spurs,Fulham,2,0,1.51,1.03
96,10,CrystalPalace,Spurs,1,2,0.64,1.12
95,10,Chelsea,Brentford,0,2,2.03,2.16
91,10,Arsenal,SheffieldUtd,5,0,2.78,0.03
93,10,Bournemouth,Burnley,2,1,1.08,0.88
100,10,Wolves,Newcastle,2,2,0.98,2.17
99,10,WestHam,Everton,0,1,0.66,0.82
92,10,AstonVilla,Luton,3,1,2.39,0.48
94,10,Brighton,Fulham,1,1,1,0.71
97,10,Liverpool,NottmForest,3,0,2.95,0.45
98,10,ManUtd,ManCity,0,3,1.03,0.66
104,11,Fulham,ManUtd,0,1,1.01,0.69
101,11,Brentford,WestHam,3,2,1.4,2.09
102,11,Burnley,CrystalPalace,0,2,1.12,1.32
103,11,Everton,Brighton,1,1,0.71,0.53
106,11,ManCity,Bournemouth,6,1,1.88,0.77
109,11,SheffieldUtd,Wolves,2,1,1.06,1.33
107,11,Newcastle,Arsenal,1,0,1.09,0.56
108,11,NottmForest,AstonVilla,2,0,0.41,1.26
105,11,Luton,Liverpool,1,1,0.81,3.04
110,11,Spurs,Chelsea,1,4,0.94,4.04
120,12,Wolves,Spurs,2,1,2.15,0.7
111,12,Arsenal,Burnley,3,1,2.03,0.3
116,12,CrystalPalace,Everton,2,3,2.24,1.6
118,12,ManUtd,Luton,1,0,2.12,0.42
113,12,Bournemouth,Newcastle,2,0,2.49,0.51
112,12,AstonVilla,Fulham,3,1,3.08,0.93
114,12,Brighton,SheffieldUtd,1,1,1.54,1.32
117,12,Liverpool,Brentford,3,0,1.53,1.57
119,12,WestHam,NottmForest,3,2,1.54,1.68
115,12,Chelsea,ManCity,4,4,2.96,2.9
126,13,ManCity,Liverpool,1,1,1.35,0.56
122,13,Burnley,WestHam,1,2,1.27,1.03
125,13,Luton,CrystalPalace,2,1,0.83,1.68
127,13,Newcastle,Chelsea,4,1,2.28,0.58
128,13,NottmForest,Brighton,2,3,1.69,1.46
129,13,SheffieldUtd,Bournemouth,1,3,0.81,2.71
121,13,Brentford,Arsenal,0,1,1.11,1.52
130,13,Spurs,AstonVilla,1,2,2.32,1.77
123,13,Everton,ManUtd,0,3,2.73,2.18
124,13,Fulham,Wolves,3,2,2.84,1.41
131,14,Arsenal,Wolves,2,1,2.89,0.71
133,14,Brentford,Luton,3,1,3.47,0.23
134,14,Burnley,SheffieldUtd,5,0,1.81,0.39
139,14,NottmForest,Everton,0,1,0.71,0.7
138,14,Newcastle,ManUtd,1,0,2.65,0.36
132,14,Bournemouth,AstonVilla,2,2,2.02,0.68
135,14,Chelsea,Brighton,3,2,1.93,1.02
136,14,Liverpool,Fulham,4,3,2.22,1.22
140,14,WestHam,CrystalPalace,1,1,1.26,0.88
137,14,ManCity,Spurs,3,3,2.64,0.49
149,15,Wolves,Burnley,1,0,0.83,0.83
146,15,Luton,Arsenal,3,4,0.5,2.44
142,15,Brighton,Brentford,2,1,1.52,1.33
143,15,CrystalPalace,Bournemouth,0,2,0.84,1.74
145,15,Fulham,NottmForest,5,0,2.52,0.29
147,15,SheffieldUtd,Liverpool,0,2,0.66,1.78
141,15,AstonVilla,ManCity,1,0,2.04,0.83
150,15,ManUtd,Chelsea,2,1,4.07,1.4
144,15,Everton,Newcastle,3,0,3.23,1.58
148,15,Spurs,WestHam,1,2,1.74,2.07
153,16,CrystalPalace,Liverpool,1,2,1.74,1.25
152,16,Brighton,Burnley,1,1,2.72,0.94
157,16,ManUtd,Bournemouth,0,3,1.16,1.48
158,16,SheffieldUtd,Brentford,1,0,0.89,0.64
160,16,Wolves,NottmForest,1,1,1.17,0.79
151,16,AstonVilla,Arsenal,1,0,0.51,1.36
154,16,Everton,Chelsea,2,0,1.08,0.93
155,16,Fulham,WestHam,5,0,2.34,1.39
156,16,Luton,ManCity,1,2,0.33,1.6
159,16,Spurs,Newcastle,4,1,3.88,1.69
169,17,NottmForest,Spurs,0,2,1.5,1.53
165,17,Chelsea,SheffieldUtd,2,0,2.75,0.37
167,17,ManCity,CrystalPalace,2,2,1.61,1.82
168,17,Newcastle,Fulham,3,0,3.97,0.29
164,17,Burnley,Everton,0,2,0.77,1.34
161,17,Arsenal,Brighton,2,0,2.26,0.69
163,17,Brentford,AstonVilla,1,2,0.51,1.42
170,17,WestHam,Wolves,3,0,1.14,0.65
166,17,Liverpool,ManUtd,0,0,0.77,0.63
172,18,CrystalPalace,Brighton,1,1,1.36,1.14
171,18,AstonVilla,SheffieldUtd,1,1,0.89,0.56
179,18,WestHam,ManUtd,2,0,1.36,0.91
173,18,Fulham,Burnley,0,2,1.38,0.41
175,18,Luton,Newcastle,1,0,1.88,1.68
177,18,NottmForest,Bournemouth,2,3,0.75,1.57
178,18,Spurs,Everton,2,1,1.34,1.95
174,18,Liverpool,Arsenal,1,1,0.95,0.8
180,18,Wolves,Chelsea,2,1,1.31,2.05
189,19,Newcastle,NottmForest,1,3,2.43,3.46
182,19,Bournemouth,Fulham,3,0,1.82,0.28
190,19,SheffieldUtd,Luton,2,3,2.59,0.63
185,19,Burnley,Liverpool,0,2,0.76,1.69
188,19,ManUtd,AstonVilla,3,2,1.04,2.6
183,19,Brentford,Wolves,1,4,2.16,2.1
186,19,Chelsea,CrystalPalace,2,1,2.74,1.08
187,19,Everton,ManCity,1,3,1.01,2.6
184,19,Brighton,Spurs,4,2,3.7,2.48
181,19,Arsenal,WestHam,0,2,2.68,1.48
195,20,Luton,Chelsea,2,3,0,0
191,20,AstonVilla,Burnley,3,2,0,0
192,20,CrystalPalace,Brentford,3,1,0,0
196,20,ManCity,SheffieldUtd,2,0,0,0
200,20,Wolves,Everton,3,0,0,0
197,20,NottmForest,ManUtd,2,1,0,0
193,20,Fulham,Arsenal,2,1,0,0
198,20,Spurs,Bournemouth,3,1,0,0
