Name,Week,FixtureIds,Points,MinutesPlayed,Goals,Assists,xGoals,xAssists,CleanSheets,GoalsConceded,xGoalsConceded,Saves,BonusPoints,BonusPointsRating
Fabio Vieira,3,21,7,34,0,2,0.04,0.22,0,1,0.25,0,0,22
Gabriel,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Havertz,3,21,1,55,0,0,0.27,0.14,0,1,0.29,0,0,2
G.Jesus,3,21,1,1,0,0,0.14,0.01,0,0,0.12,0,0,1
Jorginho,3,21,1,6,0,0,0,0.03,0,1,0.25,0,0,4
Kiwior,3,21,1,90,0,0,0.32,0.03,0,2,0.53,0,0,11
Martinelli,3,21,2,90,0,0,0.54,0.11,0,2,0.53,0,0,12
Nketiah,3,21,5,45,1,0,0.43,0.1,0,1,0.25,0,0,24
Odegaard,3,21,2,83,0,0,0.11,0.14,0,1,0.29,0,0,10
Thomas,3,21,1,55,0,0,0,0.08,0,1,0.29,0,0,16
Ramsdale,3,21,1,90,0,0,0,0,0,2,0.53,1,0,10
Saka,3,21,8,90,1,0,1.36,1.08,0,2,0.53,0,1,26
Saliba,3,21,1,90,0,0,0.04,0.03,0,2,0.53,0,0,14
Smith Rowe,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Tavares,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Tomiyasu,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Trossard,3,21,1,45,0,0,0,0.68,0,1,0.29,0,0,10
Turner,3,28,3,90,0,0,0,0,0,3,2.91,7,0,23
White,3,21,1,90,0,0,0,0.1,0,2,0.53,0,0,18
Zinchenko,3,21,1,34,0,0,0,0.03,0,1,0.25,0,0,11
Archer,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Bailey,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Cash,3,25,17,90,2,0,1.35,0.02,0,1,0.73,0,3,45
Coutinho,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Diego Carlos,3,25,2,90,0,0,0.1,0.01,0,1,0.73,0,0,10
Digne,3,25,5,80,0,1,0,0.08,0,1,0.28,0,0,17
Douglas Luiz,3,25,2,85,0,0,0,0.13,0,1,0.39,0,0,12
Duran,3,25,1,4,0,0,0,0,0,0,0.33,0,0,3
Kamara,3,25,3,90,0,0,0,0.03,0,1,0.73,0,1,23
Konsa,3,25,2,90,0,0,0,0.01,0,1,0.73,0,0,12
Martinez,3,25,0,0,0,0,0,0,0,0,0,0,0,0
McGinn,3,25,2,90,0,0,0,0.15,0,1,0.73,0,0,18
Mings,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Nakamba,3,26,1,90,0,0,0,0.02,0,3,2.09,0,0,11
Olsen,3,25,2,90,0,0,0,0,0,1,0.73,1,0,12
Tielemans,3,25,1,4,0,0,0,0,0,0,0.33,0,0,3
Bertrand Traore,3,25,1,9,0,0,0,0,0,0,0.45,0,0,3
Watkins,3,25,5,85,0,1,0.78,0.01,0,1,0.39,0,0,8
Billing,3,22,2,85,0,0,0.29,0.03,0,2,1.83,0,0,7
Brooks,3,22,1,17,0,0,0,0.01,0,0,0.28,0,0,5
Christie,3,22,1,59,0,0,0.02,0.15,0,1,1.34,0,0,4
L.Cook,3,22,1,45,0,0,0.03,0.01,0,1,0.72,0,0,5
Kelly,3,22,0,90,0,0,0,0.01,0,2,2.06,0,0,9
Kluivert,3,22,1,59,0,0,0.03,0.02,0,1,1.34,0,0,0
Lowe,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Mepham,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Moore,3,22,1,4,0,0,0,0.01,0,0,0.23,0,0,3
N.Neto,3,22,2,90,0,0,0,0,0,2,2.06,4,0,15
Rothwell,3,22,1,45,0,0,0,0.02,0,1,1.34,0,0,4
Semenyo,3,22,2,72,0,0,0.17,0.02,0,2,1.78,0,0,-4
Senesi,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Solanke,3,22,2,90,0,0,0.07,0.04,0,2,2.06,0,0,3
Tavernier,3,22,0,0,0,0,0,0,0,0,0,0,0,0
Hamed Traorè,3,22,1,30,0,0,0,0.01,0,1,0.72,0,0,0
Zabarnyi,3,22,1,90,0,0,0,0.02,0,2,2.06,0,0,18
Ajer,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Collins,3,23,2,90,0,0,0.05,0.07,0,1,0.8,0,0,12
Damsgaard,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Dasilva,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Flekken,3,23,4,90,0,0,0,0,0,1,0.8,4,1,22
Henry,3,23,2,90,0,0,0.05,0.04,0,1,0.8,0,0,14
Hickey,3,23,2,90,0,0,0,0.01,0,1,0.8,0,0,13
Janelt,3,23,2,90,0,0,0.04,0.02,0,1,0.8,0,0,4
Jensen,3,23,3,71,0,0,0,0.07,1,0,0.64,0,0,14
Lewis-Potter,3,23,1,10,0,0,0,0,0,0,0.04,0,0,2
Mbeumo,3,23,2,90,0,0,0.04,0.25,0,1,0.8,0,0,10
Mee,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Norgaard,3,23,5,90,0,1,0.01,0.12,0,1,0.8,0,0,21
Onyeka,3,23,1,18,0,0,0.22,0.02,0,1,0.16,0,0,3
Pinnock,3,23,2,90,0,0,0.18,0.02,0,1,0.8,0,0,13
Raya,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Schade,3,23,9,79,1,0,0.11,0.11,0,1,0.76,0,2,26
Toney,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Wissa,3,23,2,90,0,0,0.27,0,0,1,0.8,0,0,-1
Adingra,3,24,1,18,0,0,0,0.02,0,0,0.53,0,0,5
Caicedo,3,26,3,90,0,0,0,0.03,1,0,0.43,0,0,15
Dahoud,3,24,0,0,0,0,0,0,0,0,0,0,0,0
Dunk,3,24,1,90,0,0,0.17,0.07,0,3,3.33,0,0,15
Enciso,3,24,0,0,0,0,0,0,0,0,0,0,0,0
Estupinan,3,24,1,90,0,0,0,0.17,0,3,3.33,0,0,16
Ferguson,3,24,2,90,0,0,0.67,0.04,0,3,3.33,0,0,-2
Gilmour,3,24,1,59,0,0,0.18,0.29,0,2,2.18,0,0,12
Gross,3,24,10,90,1,0,0.16,0.3,0,3,3.33,0,3,39
Joao Pedro,3,24,1,30,0,0,0.05,0.11,0,1,1.15,0,0,6
Lallana,3,24,1,30,0,0,0,0.04,0,1,1.15,0,0,4
Lamptey,3,24,0,0,0,0,0,0,0,0,0,0,0,0
March,3,24,2,71,0,0,0.15,0.1,0,3,2.8,0,0,10
Milner,3,24,2,71,0,0,0,0.11,0,3,2.8,0,0,9
Mitoma,3,24,1,90,0,0,0.07,0.38,0,3,3.33,0,0,10
Sanchez,3,26,6,90,0,0,0,0,1,0,0.43,1,0,25
Steele,3,24,0,0,0,0,0,0,0,0,0,0,0,0
Van Hecke,3,24,0,0,0,0,0,0,0,0,0,0,0,0
Veltman,3,24,4,18,0,1,0.07,0.02,0,0,0.53,0,0,13
Verbruggen,3,24,2,90,0,0,0,0,0,3,3.33,4,0,16
Webster,3,24,1,90,0,0,0,0.05,0,3,3.33,0,0,14
Welbeck,3,24,1,59,0,0,0.04,0.19,0,2,2.18,0,0,3
Al-Dakhil,3,25,1,90,0,0,0,0.18,0,3,2.51,0,0,11
Benson,3,25,1,45,0,0,0,0,0,2,1.73,0,0,5
Beyer,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Brownhill,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Cork,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Cullen,3,25,1,90,0,0,0,0.32,0,3,2.51,0,0,11
Foster,3,25,7,80,1,0,0.13,0,0,3,2.49,0,1,23
Gudmundsson,3,25,4,45,0,1,0,0.11,0,1,0.78,0,0,15
O'Shea,3,25,1,90,0,0,0,0.02,0,3,2.51,0,0,19
Roberts,3,25,1,90,0,0,0,0.12,0,3,2.51,0,0,15
Rodriguez,3,25,1,9,0,0,0.45,0,0,0,0.02,0,0,-3
Taylor,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Vitinho,3,25,0,0,0,0,0,0,0,0,0,0,0,0
Chalobah,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Chilwell,3,26,6,85,0,0,0.09,0.28,1,0,0.41,0,0,22
Chukwuemeka,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Colwill,3,26,6,90,0,0,0.11,0.15,1,0,0.43,0,0,26
Cucurella,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Enzo,3,26,2,90,0,0,0.26,0.29,1,0,0.43,0,0,1
W.Fofana,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Gallagher,3,26,3,90,0,0,0.08,0.31,1,0,0.43,0,0,17
Gusto,3,26,14,90,0,2,0.01,0.16,1,0,0.43,0,2,48
Hudson-Odoi,3,26,0,0,0,0,0,0,0,0,0,0,0,0
James,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Madueke,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Mount,3,28,0,0,0,0,0,0,0,0,0,0,0,0
Mudryk,3,26,0,0,0,0,0,0,0,0,0,0,0,0
N.Jackson,3,26,7,82,1,0,0.71,0.18,1,0,0.36,0,1,34
Nkunku,3,26,0,0,0,0,0,0,0,0,0,0,0,0
M.Sarr,3,26,0,0,0,0,0,0,0,0,0,0,0,0
Sterling,3,26,19,90,2,1,0.79,0.21,1,0,0.43,0,3,52
T.Silva,3,26,6,90,0,0,0,0.01,1,0,0.43,0,0,28
Ahamada,3,23,1,19,0,0,0,0,0,0,0.45,0,0,3
Andersen,3,23,11,90,1,0,0.05,0.13,0,1,0.97,0,3,38
J.Ayew,3,23,5,90,0,1,0.21,0.04,0,1,0.97,0,0,16
C.Doucoure,3,23,2,90,0,0,0,0.04,0,1,0.97,0,0,17
Edouard,3,23,2,70,0,0,0.09,0.01,0,1,0.52,0,0,5
Eze,3,23,2,90,0,0,0.35,0.07,0,1,0.97,0,0,7
Guehi,3,23,2,90,0,0,0,0.01,0,1,0.97,0,0,15
Hughes,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Johnstone,3,23,2,90,0,0,0,0,0,1,0.97,0,0,8
Lerma,3,23,2,90,0,0,0.08,0.05,0,1,0.97,0,0,16
Mateta,3,23,1,19,0,0,0,0.01,0,0,0.45,0,0,2
Mitchell,3,23,2,90,0,0,0,0.03,0,1,0.97,0,0,13
Olise,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Schlupp,3,23,2,70,0,0,0.03,0.01,0,1,0.52,0,0,7
Tomkins,3,23,0,0,0,0,0,0,0,0,0,0,0,0
Ward,3,23,2,90,0,0,0,0.02,0,1,0.97,0,0,9
Branthwaite,3,27,1,90,0,0,0.24,0.15,0,1,1.16,0,0,11
Calvert-Lewin,3,27,0,0,0,0,0,0,0,0,0,0,0,0
A.Doucoure,3,27,2,90,0,0,0.21,0.1,0,1,1.16,0,0,10
Garner,3,27,1,90,0,0,0.06,0.22,0,1,1.16,0,0,10
Godfrey,3,27,0,0,0,0,0,0,0,0,0,0,0,0
Gana,3,27,2,90,0,0,0,0.04,0,1,0.88,0,0,19
Iwobi,3,27,0,0,0,0,0,0,0,0,0,0,0,0
Keane,3,27,1,1,0,0,0,0,0,0,0.28,0,0,2
Maupay,3,27,0,0,0,0,0,0,0,0,0,0,0,0
McNeil,3,27,0,0,0,0,0,0,0,0,0,0,0,0
Mykolenko,3,27,0,0,0,0,0,0,0,0,0,0,0,0
Onana,3,27,2,90,0,0,0.05,0.2,0,1,1.16,0,0,16
Patterson,3,27,2,90,0,0,0,0.05,0,1,1.16,0,0,17
Pickford,3,27,2,90,0,0,0,0.01,0,1,1.16,2,0,13
Tarkowski,3,27,2,90,0,0,0.12,0.03,0,1,1.16,0,0,12
Andreas,3,21,8,62,1,0,0.02,0,1,0,1.53,0,0,25
Cairney,3,21,1,27,0,0,0,0,0,2,1.72,0,0,4
De Cordova-Reid,3,21,2,88,0,0,0,0.03,0,2,2.58,0,0,6
Diop,3,21,1,90,0,0,0,0.18,0,2,3.25,0,0,14
Leno,3,21,5,90,0,0,0,0,0,2,3.25,8,2,27
Lukic,3,21,1,70,0,0,0.02,0,0,1,2.32,0,0,2
J.Palhinha,3,21,10,90,1,0,0.17,0.01,0,2,3.25,0,3,33
Ream,3,21,0,0,0,0,0,0,0,0,0,0,0,0
Reed,3,21,4,20,0,1,0,0.03,0,1,0.94,0,0,13
Robinson,3,21,1,90,0,0,0,0.08,0,2,3.25,0,0,11
Tete,3,21,0,90,0,0,0,0,0,2,3.25,0,0,1
Tosin,3,21,1,1,0,0,0,0,0,0,0.67,0,0,5
H.Wilson,3,21,2,70,0,0,0.03,0,0,1,2.32,0,0,5
Alexander-Arnold,3,29,1,90,0,0,0,0.22,0,1,2,0,0,8
A.Becker,3,29,5,90,0,0,0,0,0,1,2,7,1,24
Bajcetic,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Darwin,3,29,11,13,2,0,0.52,0.09,0,0,0.4,0,3,50
Diogo J.,3,29,4,32,0,1,0,0.14,0,0,0.75,0,0,12
Elliott,3,29,1,32,0,0,0,0.01,0,0,0.75,0,0,3
Gakpo,3,29,1,57,0,0,0,0,0,1,1.25,0,0,2
Gomez,3,29,1,57,0,0,0.01,0,0,0,1.34,0,0,4
Jones,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Konate,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Luis Diaz,3,29,1,32,0,0,0.07,0,0,1,0.65,0,0,3
Mac Allister,3,29,2,76,0,0,0,0.01,0,1,1.6,0,0,8
Matip,3,29,2,76,0,0,0.1,0.01,0,1,1.6,0,0,10
Phillips,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Robertson,3,29,2,90,0,0,0,0.06,0,1,2,0,0,13
Salah,3,29,5,90,0,1,0.18,0.12,0,1,2,0,0,19
Szoboszlai,3,29,2,90,0,0,0.07,0.02,0,1,2,0,0,10
Thiago,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Tsimikas,3,29,0,0,0,0,0,0,0,0,0,0,0,0
Virgil,3,29,-2,27,0,0,0,0,0,1,3.47,0,0,-6
Adebayo,3,26,2,69,0,0,0,0.06,0,2,1.52,0,0,1
M.Andersen,3,26,1,13,0,0,0,0,0,0,0.08,0,0,5
