Name,Position,Team,Price,Goals,Assists,Clean Sheets,Goals Conceded,Minutes
Haaland,Man City,Forward,14.1,6,1,2,2,349
Mbeumo,Brentford,Midfielder,6.8,4,0,1,5,360
Bowen,West Ham,Midfielder,7.1,3,1,0,4,360
Maddison,Spurs,Midfielder,7.8,2,2,2,3,337
March,Brighton,Midfielder,6.6,3,0,2,4,314
J.Alvarez,Man City,Forward,6.7,2,3,2,2,359
Son,Spurs,Midfielder,9.1,3,0,2,3,325
Rodrigo,Man City,Midfielder,5.7,2,1,2,2,345
Romero,Spurs,Defender,4.7,2,0,2,2,283
Awoniyi,Nottm Forest,Forward,6.6,3,1,1,4,246
Ferguson,Brighton,Forward,6,4,0,1,4,205
Saka,Arsenal,Midfielder,8.7,2,1,1,4,358
Sterling,Chelsea,Midfielder,7.2,2,1,1,5,350
Diaby,Aston Villa,Midfielder,6.6,2,1,1,8,311
Edouard,Crystal Palace,Forward,5.5,3,0,1,3,339
Wissa,Brentford,Forward,6.2,2,1,1,5,329
J.Andersen,Crystal Palace,Defender,4.6,1,0,1,4,360
Mitoma,Brighton,Midfielder,6.5,1,3,0,6,350
Salah,Liverpool,Midfielder,12.5,2,2,1,3,341
Udogie,Spurs,Defender,4.7,0,2,2,4,330
Ward-Prowse,West Ham,Midfielder,6.1,1,3,0,3,260
Odegaard,Arsenal,Midfielder,8.5,2,0,1,3,352
Cash,Aston Villa,Defender,4.6,2,0,1,8,356
Darwin,Liverpool,Forward,7.4,2,2,1,0,105
Estupinan,Brighton,Defender,5.3,1,2,0,6,360
Foden,Man City,Midfielder,7.6,0,3,2,1,273
Solanke,Bournemouth,Forward,6.5,2,1,0,8,360
Vicario,Spurs,Goalkeeper,5.1,0,0,2,4,360
Areola,West Ham,Goalkeeper,4.1,0,0,0,4,360
P.Neto,Wolves,Midfielder,5.5,0,3,1,8,360
Nketiah,Arsenal,Forward,5.6,2,1,2,2,270
Antonio,West Ham,Forward,6.1,2,0,3,1,309
Disasi,Chelsea,Defender,5.1,1,0,1,5,360
Isak,Newcastle,Forward,7.7,2,0,1,5,276
Jensen,Brentford,Midfielder,5.4,1,1,2,4,289
Leno,Fulham,Goalkeeper,4.5,0,0,1,10,360
Luis Diaz,Liverpool,Midfielder,7.7,2,0,1,3,257
Rashford,Man Utd,Midfielder,8.9,1,2,1,7,351
Szoboszlai,Liverpool,Midfielder,7,1,1,1,3,360
A.Becker,Liverpool,Goalkeeper,5.5,0,0,1,3,360
B.Fernandes,Man Utd,Midfielder,8.4,1,1,1,7,360
Boly,Nottm Forest,Defender,4.5,1,0,1,6,338
Diogo J.,Liverpool,Midfielder,8,1,2,0,2,197
Eriksen,Man Utd,Midfielder,5.9,1,1,0,6,226
Gusto,Chelsea,Defender,4.2,0,2,1,3,262
Schade,Brentford,Midfielder,5.4,1,1,1,2,237
Ake,Man City,Defender,5.1,1,0,1,2,258
Aurier,Nottm Forest,Defender,4.5,0,2,1,6,341
Ederson M.,Man City,Goalkeeper,5.6,0,0,2,2,360
Jose Sa,Wolves,Goalkeeper,5,0,0,1,8,360
Rice,Arsenal,Midfielder,5.4,1,0,1,4,360
Watkins,Aston Villa,Forward,8,0,3,1,9,320
Zouma,West Ham,Defender,4.5,1,0,0,4,360
Alexander-Arnold,Liverpool,Defender,7.9,0,1,1,3,326
Bailey,Aston Villa,Midfielder,5.5,1,1,1,4,153
Gross,Brighton,Midfielder,6.4,1,0,1,5,348
McGinn,Aston Villa,Midfielder,5.5,1,0,1,7,333
Mitchell,Crystal Palace,Defender,4.5,0,1,1,4,360
Pedro Porro,Spurs,Defender,5,0,1,2,2,267
Saliba,Arsenal,Defender,5.2,0,1,1,4,360
Sarr,Spurs,Midfielder,4.5,1,1,1,1,215
Walker,Man City,Defender,5.2,0,0,2,2,360
Akanji,Man City,Defender,5.1,0,0,2,1,270
Andreas,Fulham,Midfielder,5.5,1,1,1,7,251
Chilwell,Chelsea,Defender,5.8,0,1,1,4,295
Digne,Aston Villa,Defender,4.5,0,2,1,9,350
Eze,Crystal Palace,Midfielder,6.3,1,0,1,4,360
Foster,Burnley,Forward,5,2,0,0,11,260
Gibbs-White,Nottm Forest,Midfielder,5.9,0,2,1,6,360
Gilmour,Brighton,Midfielder,4.9,0,2,1,4,241
Gordon,Newcastle,Midfielder,5.5,1,1,1,5,283
L.Paqueta,West Ham,Midfielder,6,1,1,1,3,354
Martinelli,Arsenal,Midfielder,7.9,0,2,1,4,333
Morris,Luton,Forward,5.5,1,1,0,9,270
Neto,Bournemouth,Goalkeeper,4.5,0,0,0,8,360
R.Varane,Man Utd,Defender,5,1,0,1,4,225
Van de Ven,Spurs,Defender,4.5,0,0,2,4,360
A.Doucoure,Everton,Midfielder,5.5,1,0,0,8,360
Casemiro,Man Utd,Midfielder,5.4,1,0,1,7,360
De Cordova-Reid,Fulham,Midfielder,5.5,1,1,0,8,272
Flekken,Brentford,Goalkeeper,4.5,0,0,1,5,360
J.Ayew,Crystal Palace,Midfielder,5.5,0,2,1,4,360
Kulusevski,Spurs,Midfielder,7,1,0,2,3,352
Wan-Bissaka,Man Utd,Defender,4.6,0,1,1,6,335
Barnes,Newcastle,Midfielder,6.4,1,1,0,2,90
Collins,Brentford,Defender,4.5,0,1,1,3,279
Elanga,Nottm Forest,Midfielder,5,1,1,0,0,85
Hee Chan,Wolves,Midfielder,5.4,2,0,0,3,137
Semenyo,Bournemouth,Forward,4.5,1,1,0,6,221
Wilson,Newcastle,Forward,7.8,2,0,0,4,96
Archer,Sheffield Utd,Forward,4.5,1,1,0,2,79
D.Brooks,Bournemouth,Midfielder,4.9,1,0,0,2,135
Cunha,Wolves,Forward,5.5,1,0,1,8,340
Douglas Luiz,Aston Villa,Midfielder,5.4,1,0,1,9,309
Henry,Brentford,Defender,4.6,0,1,1,5,360
Norgaard,Brentford,Midfielder,5.5,0,1,1,5,329
Ream,Fulham,Defender,4.5,1,0,1,8,243
Robertson,Liverpool,Defender,6.5,0,0,1,3,360
R.Sanchez,Chelsea,Goalkeeper,4.5,0,0,1,5,360
Turner,Nottm Forest,Goalkeeper,4,0,0,1,6,360
Benrahma,West Ham,Midfielder,5.9,0,1,1,3,279
Colwill,Chelsea,Defender,4.5,0,0,1,5,360
Danjuma,Everton,Midfielder,5.5,1,0,0,6,250
Foderingham,Sheffield Utd,Goalkeeper,4.5,0,0,0,7,360
Fabio Vieira,Arsenal,Midfielder,5.4,0,3,0,1,47
Guehi,Crystal Palace,Defender,4.5,0,0,1,4,360
Johnstone,Crystal Palace,Goalkeeper,4.5,0,0,1,4,360
Onana,Man Utd,Goalkeeper,5,0,0,1,7,360
Pinnock,Brentford,Defender,4.5,0,0,1,5,360
Ramsdale,Arsenal,Goalkeeper,5,0,0,1,4,360
Ruben,Man City,Defender,5.5,0,0,1,2,270
Solomon,Spurs,Midfielder,5.3,0,2,0,1,69
T.Silva,Chelsea,Defender,5,0,0,1,5,360
Tonali,Newcastle,Midfielder,5.5,1,0,1,3,284
White,Arsenal,Defender,5.5,0,0,1,4,360
E.Royal,Spurs,Defender,4.5,1,0,0,3,96
Grealish,Man City,Midfielder,7.3,0,1,1,1,180
Hamer,Sheffield Utd,Midfielder,5,1,0,0,6,270
J.Palhinha,Fulham,Midfielder,5,1,0,0,3,113
Joao Pedro,Brighton,Forward,5.5,1,0,1,3,226
Kilman,Wolves,Defender,4.5,0,0,1,8,360
Kovačic,Man City,Midfielder,4.9,0,0,2,2,325
Martinez,Aston Villa,Goalkeeper,4.9,0,0,1,8,270
McKenna,Nottm Forest,Defender,4.5,0,0,1,5,326
N.Jackson,Chelsea,Forward,7.2,1,0,1,5,352
Reed,Fulham,Midfielder,4.8,0,1,1,8,266
Souček,West Ham,Midfielder,4.9,0,1,0,2,218
Ward,Crystal Palace,Defender,4.5,0,0,1,4,352
Wood,Nottm Forest,Forward,5,1,0,0,0,41
Worrall,Nottm Forest,Defender,4.5,0,0,1,6,335
Andersen,Luton,Defender,4,1,0,0,4,178
Bissouma,Spurs,Midfielder,5,0,0,2,4,343
Botman,Newcastle,Defender,4.5,0,1,0,3,266
Diop,Fulham,Defender,4.5,0,0,1,10,360
Duran,Aston Villa,Forward,5,1,0,0,0,37
Gvardiol,Man City,Defender,5.1,0,0,1,1,191
H.Bueno,Wolves,Defender,4.5,0,0,1,1,109
Janelt,Brentford,Midfielder,5.4,0,0,1,4,340
Kamara,Aston Villa,Midfielder,5,0,0,1,9,360
Koleosho,Burnley,Midfielder,5,0,1,0,10,194
Konsa,Aston Villa,Defender,4.5,0,0,1,9,360
Lerma,Crystal Palace,Midfielder,4.9,0,0,1,4,360
N.Aguerd,West Ham,Defender,4.5,1,0,0,3,246
Patterson,Everton,Defender,4.5,0,1,0,8,360
Pau,Aston Villa,Defender,4.5,0,0,1,7,329
Pope,Newcastle,Goalkeeper,5.5,0,0,0,7,360
Sarabia,Wolves,Midfielder,5,0,1,1,1,172
Schlupp,Crystal Palace,Midfielder,4.9,0,0,1,3,303
H.Wilson,Fulham,Midfielder,5.4,0,0,1,8,330
Adingra,Brighton,Midfielder,5,1,0,0,2,35
Antony,Man Utd,Midfielder,6.8,0,0,1,4,308
Billing,Bournemouth,Midfielder,5.3,0,0,0,8,355
C.Doucoure,Crystal Palace,Midfielder,5,0,0,1,4,360
Coufal,West Ham,Defender,4.5,0,0,0,4,360
Cullen,Burnley,Midfielder,5,0,1,0,11,270
Emerson,West Ham,Defender,4.5,0,1,0,4,360
Enciso,Brighton,Midfielder,5.3,0,2,0,1,68
Gallagher,Chelsea,Midfielder,5.5,0,0,1,4,315
Gomez,Liverpool,Defender,4.5,0,0,1,0,161
Hickey,Brentford,Defender,4.5,0,0,1,5,319
Kalajdzic,Wolves,Forward,5,1,0,0,1,16
Mateta,Crystal Palace,Forward,4.9,0,2,0,1,38
Matip,Liverpool,Defender,4.9,0,0,1,1,166
A.Onana,Everton,Midfielder,4.9,0,0,0,8,360
Veltman,Brighton,Defender,4.4,0,1,0,3,152
Almiron,Newcastle,Midfielder,6.3,0,0,0,5,317
Bogle,Sheffield Utd,Defender,4.5,1,0,0,1,19
Christie,Bournemouth,Midfielder,5,0,0,0,6,273
Danilo,Nottm Forest,Midfielder,5.4,0,0,0,6,285
Dawson,Wolves,Defender,4.5,0,0,1,8,340
Dunk,Brighton,Defender,5,0,0,0,6,360
G.Jesus,Arsenal,Forward,7.9,1,0,0,0,15
Garner,Everton,Midfielder,5,0,0,0,8,336
Havertz,Arsenal,Midfielder,7.3,0,0,1,3,311
Lemina,Wolves,Midfielder,5,0,0,1,8,360
Longstaff,Newcastle,Midfielder,4.9,0,1,0,4,88
N.Semedo,Wolves,Defender,4.5,0,0,1,8,360
Norwood,Sheffield Utd,Midfielder,5,0,0,0,6,349
R.Lewis,Man City,Defender,4.5,0,0,1,0,79
A.Robinson,Fulham,Defender,4.5,0,0,1,10,360
T.Benie,Sheffield Utd,Forward,5.5,0,0,0,4,272
Yates,Nottm Forest,Midfielder,4.9,0,0,1,5,291
Adebayo,Luton,Forward,4.9,0,0,0,4,202
Ajer,Brentford,Defender,4.5,0,1,0,2,93
Brownhill,Burnley,Midfielder,4.8,1,0,0,3,46
Bruno G.,Newcastle,Midfielder,5.9,0,0,0,7,354
Caicedo,Chelsea,Midfielder,4.9,0,0,1,2,195
Chong,Luton,Midfielder,5,0,0,0,7,246
Chukwuemeka,Chelsea,Midfielder,4.4,1,0,0,2,125
Fabio Silva,Wolves,Forward,5.4,0,0,1,5,213
Gakpo,Liverpool,Forward,7.3,0,0,0,3,209
Gana,Everton,Midfielder,4.9,0,0,0,6,315
Garnacho,Man Utd,Midfielder,4.9,0,0,1,3,138
Johnson,Spurs,Midfielder,5.9,0,0,0,5,238
Joao Gomes,Wolves,Midfielder,5,0,0,1,7,311
Kaminski,Luton,Goalkeeper,4.5,0,0,0,9,270
Lukic,Fulham,Midfielder,4.5,0,0,1,4,250
Mangala,Nottm Forest,Midfielder,5,0,0,1,3,228
McBurnie,Sheffield Utd,Forward,5.4,0,1,0,3,109
Raul,Fulham,Forward,5.4,0,0,0,8,312
Richarlison,Spurs,Midfielder,6.8,0,0,1,3,236
Senesi,Bournemouth,Defender,4.4,0,1,0,6,232
Shaw,Man Utd,Defender,5.4,0,0,1,2,180
Tete,Fulham,Defender,4.5,0,0,1,8,337
Partey,Arsenal,Midfielder,4.9,0,0,1,2,235
Aina,Nottm Forest,Defender,4.5,0,0,1,5,233
Amdouni,Burnley,Forward,5.5,0,0,0,8,199
Basham,Sheffield Utd,Defender,4,0,0,0,3,143
Bernardo,Man City,Midfielder,6.4,0,0,1,1,194
Brown,Luton,Forward,5,0,1,0,5,65
Burn,Newcastle,Defender,4.5,0,0,0,7,360
Davies,Spurs,Defender,4.4,0,1,0,0,28
Dobbin,Everton,Midfielder,4.5,0,0,1,2,117
Enzo,Chelsea,Midfielder,5,0,0,1,5,360
Joelinton,Newcastle,Midfielder,5.9,0,0,0,4,284
Kerkez,Bournemouth,Defender,4.5,0,0,0,8,360
Kluivert,Bournemouth,Midfielder,4.8,0,0,0,2,186
Milner,Brighton,Midfielder,4.9,0,0,1,4,214
Mount,Man Utd,Midfielder,6.8,0,0,1,2,151
P.Fornals,West Ham,Midfielder,4.9,0,0,0,2,124
Pickford,Everton,Goalkeeper,4.5,0,0,0,8,360
Robinson,Sheffield Utd,Defender,4.5,0,0,0,7,349
Rothwell,Bournemouth,Midfielder,5,0,0,0,5,210
Schar,Newcastle,Defender,5,0,0,0,7,360
Steele,Brighton,Goalkeeper,4.4,0,0,0,2,180
Tarkowski,Everton,Defender,4.4,0,0,0,8,360
Tomiyasu,Arsenal,Defender,4.5,0,0,1,1,120
Trafford,Burnley,Goalkeeper,4.5,0,0,0,11,270
Trippier,Newcastle,Defender,6.5,0,0,0,7,360
Vini Souza,Sheffield Utd,Midfielder,5,0,0,0,5,247
Young,Everton,Defender,4.5,0,0,0,8,360
Zabarnyi,Bournemouth,Defender,4.5,0,0,0,8,360
Aarons,Bournemouth,Defender,4.5,0,0,0,8,344
Anderson,Newcastle,Midfielder,4.4,0,0,0,3,64
Baldock,Sheffield Utd,Defender,4,0,0,0,4,250
Barkley,Luton,Midfielder,5,0,0,0,4,146
Berge,Burnley,Midfielder,4.9,0,0,0,8,202
Dahoud,Brighton,Midfielder,4.9,0,0,1,1,95
Diego Carlos,Aston Villa,Defender,4.5,0,0,0,4,160
Egan,Sheffield Utd,Defender,4.5,0,0,0,7,337
Elliott,Liverpool,Midfielder,4.9,0,0,0,0,85
Gabriel,Arsenal,Defender,4.8,0,0,0,1,114
Gudmundsson,Burnley,Midfielder,4.9,0,1,0,3,90
J.Murphy,Newcastle,Midfielder,4.9,0,1,0,0,4
Jones,Liverpool,Midfielder,4.9,0,0,1,0,87
Konate,Liverpool,Defender,5,0,0,0,2,180
Larouci,Sheffield Utd,Defender,4.5,0,0,0,5,195
Mac Allister,Liverpool,Midfielder,6,0,0,1,3,309
Martial,Man Utd,Forward,6.5,0,0,0,3,130
Mpanzu,Luton,Midfielder,4.9,0,0,0,4,119
Nakamba,Luton,Midfielder,4.4,0,0,0,9,270
Osborn,Sheffield Utd,Midfielder,4.9,0,0,0,3,192
Osula,Sheffield Utd,Forward,4.5,0,0,0,3,233
Sergio Gomez,Man City,Defender,3.9,0,1,0,0,14
Tavernier,Bournemouth,Midfielder,5.4,0,1,0,1,19
Tielemans,Aston Villa,Midfielder,5.8,0,0,0,3,94
Van Hecke,Brighton,Defender,4,0,0,0,2,180
Verbruggen,Brighton,Goalkeeper,4.4,0,0,0,4,180
Welbeck,Brighton,Forward,5.8,0,0,1,2,192
Zinchenko,Arsenal,Defender,4.9,0,0,0,2,110
Alvarez,West Ham,Midfielder,5,0,0,0,2,182
Adama,Fulham,Midfielder,5,0,0,0,3,32
Ahmedhodzic,Sheffield Utd,Defender,4.5,0,0,0,7,360
Anthony,Bournemouth,Midfielder,4.9,0,0,0,5,151
Bruun Larsen,Burnley,Midfielder,4.9,0,0,0,1,60
Cairney,Fulham,Midfielder,4.9,0,0,0,2,99
Dalot,Man Utd,Defender,4.9,0,0,0,6,204
Doughty,Luton,Defender,4.4,0,0,0,5,123
Endo,Liverpool,Midfielder,5.5,0,0,0,1,87
Giles,Luton,Defender,4.5,0,0,0,8,250
Ings,West Ham,Forward,5.8,0,0,0,2,27
Iwobi,Fulham,Midfielder,5.4,0,0,0,3,140
Jorginho,Arsenal,Midfielder,5.4,0,0,0,1,18
Kabore,Luton,Defender,4,0,0,0,4,151
Kouyate,Nottm Forest,Midfielder,4.9,0,0,0,1,39
L.Cook,Bournemouth,Midfielder,5,0,0,0,3,135
Lewis-Potter,Brentford,Midfielder,4.9,0,0,0,1,48
Lindelof,Man Utd,Defender,4.5,0,0,0,1,173
Lowe,Sheffield Utd,Defender,4.4,0,0,0,2,124
Maupay,Brentford,Forward,4.9,0,0,1,2,110
Moore,Bournemouth,Forward,4.9,0,0,0,0,54
Mudryk,Chelsea,Midfielder,6.4,0,0,0,2,67
Ogbene,Luton,Forward,4.9,0,0,0,3,39
Ogbonna,West Ham,Defender,4.5,0,0,0,1,111
Perisic,Spurs,Defender,4.9,0,0,0,1,88
Redmond,Burnley,Midfielder,4.9,0,0,0,2,53
Sancho,Man Utd,Midfielder,6.8,0,0,0,1,76
Skipp,Spurs,Midfielder,4.8,0,0,0,3,95
Williams,Nottm Forest,Defender,4.5,0,0,0,1,108
Ahamada,Crystal Palace,Midfielder,4.4,0,0,0,0,35
Al-Dakhil,Burnley,Defender,4,0,0,0,11,270
Ait-Nouri,Wolves,Defender,4.5,0,0,0,7,288
Bell,Luton,Defender,4,0,0,0,9,270
Benson,Burnley,Midfielder,5.3,0,0,0,3,61
Beto,Everton,Forward,6,0,0,0,2,90
Brooks,Sheffield Utd,Midfielder,4.5,0,0,0,1,19
Burke,Luton,Defender,4,0,0,0,5,166
Burstow,Chelsea,Forward,4.5,0,0,0,1,8
Coutinho,Aston Villa,Midfielder,5.8,0,0,0,1,24
Damsgaard,Brentford,Midfielder,4.9,0,0,0,0,52
Doku,Man City,Midfielder,6.5,0,0,0,1,75
Hackford,Sheffield Utd,Forward,4.5,0,0,0,1,11
Hamed Traorè,Bournemouth,Midfielder,4.9,0,0,0,1,36
Harris,Fulham,Midfielder,4.5,0,0,0,5,74
Hojbjerg,Spurs,Midfielder,5.3,0,0,0,1,66
James,Chelsea,Defender,5.3,0,0,0,1,75
Keane,Everton,Defender,4.4,0,0,0,5,181
Kiwior,Arsenal,Defender,4.4,0,0,0,2,91
Lallana,Brighton,Midfielder,4.9,0,0,0,2,48
Maatsen,Chelsea,Midfielder,5.3,0,0,0,0,26
Madueke,Chelsea,Midfielder,5.4,0,0,0,1,43
McTominay,Man Utd,Midfielder,4.9,0,0,0,0,7
Muniz,Fulham,Forward,4.4,0,0,0,2,13
Niakhate,Nottm Forest,Defender,4.5,0,0,0,1,34
O'Shea,Burnley,Defender,4.5,0,0,0,11,270
Olsen,Aston Villa,Goalkeeper,4,0,0,0,1,90
Onyeka,Brentford,Midfielder,4.9,0,0,0,2,37
Palmer,Chelsea,Midfielder,4.9,0,0,0,0,38
Pellistri,Man Utd,Midfielder,4.4,0,0,0,0,18
Quansah,Liverpool,Defender,4,0,0,0,0,32
Roberts,Burnley,Defender,4.5,0,0,0,11,270
Roerslev,Brentford,Defender,4.4,0,0,0,0,30
Toti,Wolves,Defender,4.4,0,0,0,0,24
Trossard,Arsenal,Midfielder,6.7,0,0,0,2,62
Ugochukwu,Chelsea,Midfielder,4.4,0,0,0,0,8
Virgil,Liverpool,Defender,6,0,0,0,3,207
Webster,Brighton,Defender,4.4,0,0,0,4,180
Willian,Fulham,Midfielder,5.3,0,0,0,2,84
Woodrow,Luton,Forward,4.5,0,0,0,2,8
Zaniolo,Aston Villa,Midfielder,5.5,0,0,0,0,42
A.Ramsey,Burnley,Midfielder,5,0,0,0,0,22
Baptiste,Brentford,Midfielder,4.4,0,0,0,0,18
Berry,Luton,Midfielder,4.8,0,0,0,1,2
Bertrand Traore,Aston Villa,Midfielder,5,0,0,0,0,9
Bobb,Man City,Midfielder,4.4,0,0,0,0,1
Boubacar Traore,Wolves,Midfielder,4.4,0,0,0,2,16
Branthwaite,Everton,Defender,4,0,0,0,3,180
Calvert-Lewin,Everton,Forward,5.8,0,0,0,2,37
Cannon,Everton,Forward,4.5,0,0,0,0,1
Castagne,Fulham,Defender,4.5,0,0,0,1,17
Cork,Burnley,Midfielder,4.9,0,0,0,0,16
Cornet,West Ham,Midfielder,5.4,0,0,0,0,1
Dasilva,Brentford,Midfielder,4.8,0,0,0,0,9
De Bruyne,Man City,Midfielder,10.2,0,0,0,0,22
Doak,Liverpool,Midfielder,4.5,0,0,0,0,13
G.Montiel,Nottm Forest,Defender,4.5,0,0,0,0,18
Godfrey,Everton,Defender,4.4,0,0,0,0,1
Hill,Bournemouth,Defender,4,0,0,0,0,15
Hughes,Crystal Palace,Midfielder,4.9,0,0,0,1,1
Hojlund,Man Utd,Forward,7,0,0,0,2,23
Kehrer,West Ham,Defender,4.4,0,0,0,1,15
Kelly,Bournemouth,Defender,4.5,0,0,0,2,104
Kudus,West Ham,Midfielder,6.5,0,0,0,1,1
Laporte,Man City,Defender,4.9,0,0,0,0,11
Lascelles,Newcastle,Defender,4,0,0,0,0,16
Livramento,Newcastle,Defender,4.5,0,0,0,0,4
Lo Celso,Spurs,Midfielder,4.8,0,0,0,0,16
L.Martinez,Man Utd,Defender,4.9,0,0,0,5,291
Matheus N.,Man City,Midfielder,5,0,0,0,5,180
McAtee,Sheffield Utd,Midfielder,4.4,0,0,0,0,1
McNeil,Everton,Midfielder,5.4,0,0,0,0,15
Mee,Brentford,Defender,4.9,0,0,0,2,80
Mepham,Bournemouth,Defender,4.4,0,0,0,1,33
Mitrovic,Fulham,Forward,7.4,0,0,0,0,32
Nelson,Arsenal,Midfielder,4.9,0,0,0,0,1
Olakigbe,Brentford,Midfielder,4.5,0,0,0,0,8
Onyango,Everton,Midfielder,4.5,0,0,0,0,1
Phillips,Man City,Midfielder,4.9,0,0,0,0,6
Philogene,Aston Villa,Midfielder,4.5,0,0,0,1,3
Rak-Sakyi,Crystal Palace,Midfielder,4.5,0,0,0,0,7
Rodriguez,Burnley,Forward,5.4,0,0,0,0,9
Targett,Newcastle,Defender,4.4,0,0,0,4,76
Thomas,Sheffield Utd,Defender,4,0,0,0,0,22
Tomkins,Crystal Palace,Defender,4,0,0,0,0,1
Tosin,Fulham,Defender,4.4,0,0,0,0,1
Tsimikas,Liverpool,Defender,4.4,0,0,0,0,4
Vitinho,Burnley,Defender,4.5,0,0,0,3,90
Zanka,Brentford,Defender,4.4,0,0,0,0,6
Ampadu,Chelsea,Defender,4,0,0,0,0,0
Amrabat,Man Utd,Midfielder,5,0,0,0,0,0
Ansu Fati,Brighton,Midfielder,6.5,0,0,0,0,0
Bajcetic,Liverpool,Midfielder,4.8,0,0,0,0,0
Bentancur,Spurs,Midfielder,5.4,0,0,0,0,0
Beyer,Burnley,Defender,4,0,0,0,7,146
Chalobah,Chelsea,Defender,4.3,0,0,0,0,0
Cresswell,West Ham,Defender,4.3,0,0,0,0,0
Cucurella,Chelsea,Defender,4.9,0,0,0,0,0
Delcroix,Burnley,Defender,4,0,0,0,6,135
Dennis,Nottm Forest,Forward,4.8,0,0,0,0,0
Fleck,Sheffield Utd,Midfielder,4.9,0,0,0,0,0
Fraser,Newcastle,Midfielder,4.9,0,0,0,0,0
Ghoddos,Brentford,Midfielder,4.5,0,0,0,0,0
Gravenberch,Liverpool,Midfielder,5,0,0,0,0,0
Gray,Everton,Midfielder,5.3,0,0,0,0,0
Holgate,Everton,Defender,4,0,0,0,0,0
Hudson-Odoi,Nottm Forest,Midfielder,4.9,0,0,0,0,0
J.Timber,Arsenal,Defender,4.7,0,0,0,0,49
Lamptey,Brighton,Defender,3.9,0,0,0,1,13
Lavia,Chelsea,Midfielder,5,0,0,0,0,0
Lenglet,Aston Villa,Defender,4.5,0,0,0,0,0
Lockyer,Luton,Defender,4.4,0,0,0,7,180
M.Sarr,Chelsea,Defender,4.4,0,0,0,0,0
Maguire,Man Utd,Defender,4.3,0,0,0,2,23
Malacia,Man Utd,Defender,4.4,0,0,0,0,0
Mings,Aston Villa,Defender,4.3,0,0,0,2,30
Mykolenko,Everton,Defender,4.3,0,0,0,0,0
Nkunku,Chelsea,Forward,7.3,0,0,0,0,0
Olise,Crystal Palace,Midfielder,5.9,0,0,0,0,0
Origi,Nottm Forest,Forward,5,0,0,0,0,0
Podence,Wolves,Midfielder,5.3,0,0,0,0,0
Raya,Arsenal,Goalkeeper,4.8,0,0,0,0,0
Reguilon,Man Utd,Defender,4.4,0,0,0,0,0
Scamacca,West Ham,Forward,6,0,0,0,0,0
Sinisterra,Bournemouth,Midfielder,5.5,0,0,0,0,0
Slimane,Sheffield Utd,Midfielder,4.9,0,0,0,0,10
Smith Rowe,Arsenal,Midfielder,5.3,0,0,0,0,0
Stones,Man City,Defender,5.3,0,0,0,0,0
Sanchez,Spurs,Defender,4.4,0,0,0,2,76
Tavares,Nottm Forest,Defender,4,0,0,0,0,18
Thiago,Liverpool,Midfielder,4.8,0,0,0,0,0
Tierney,Arsenal,Defender,4.4,0,0,0,0,0
Toney,Brentford,Forward,7.9,0,0,0,0,0
W.Fofana,Chelsea,Defender,4.4,0,0,0,0,0
Weghorst,Burnley,Forward,5.5,0,0,0,0,0
Y. Chermiti,Everton,Forward,4.9,0,0,0,1,24
Bassey,Fulham,Defender,4.5,0,0,0,3,105
