Name,Team,Position,Goals,Assists,Clean Sheets,Goals Conceded
Forshaw,Midfielder,Leeds,0,0,0,0
Freuler,Midfielder,Nottm Forest,0,0,0,7
Gallagher,Midfielder,Chelsea,0,0,0,4
Greenwood,Forward,Leeds,0,0,0,1
Lanzini,Midfielder,West Ham,0,0,0,1
Lenglet,Defender,Spurs,0,0,0,1
Lyanco,Defender,Southampton,0,0,0,0
Onyeka,Midfielder,Brentford,0,0,0,1
Palmer,Midfielder,Man City,0,0,0,0
Rondón,Forward,Everton,0,0,0,1
Surridge,Forward,Nottm Forest,0,0,0,1
Undav,Forward,Brighton,0,0,0,0
Van de Beek,Midfielder,Man Utd,0,0,0,0
Ziyech,Midfielder,Chelsea,0,0,0,3
Archer,Forward,Aston Villa,0,0,0,0
Chalobah,Midfielder,Fulham,0,0,0,0
Chalobah,Defender,Chelsea,0,0,0,1
Colwill,Defender,Brighton,0,0,0,0
Damsgaard,Midfielder,Brentford,0,0,0,0
Dele,Midfielder,Everton,0,0,0,1
Dennis,Forward,Nottm Forest,0,0,0,4
Duffy,Defender,Fulham,0,0,0,0
Elneny,Midfielder,Arsenal,0,0,0,1
Emerson,Defender,West Ham,0,0,0,2
Fofana,Defender,Chelsea,0,0,0,7
Fredericks,Defender,Bournemouth,0,0,0,0
Ghoddos,Midfielder,Brentford,0,0,0,1
Holding,Defender,Arsenal,0,0,0,0
Lewis,Defender,Man City,0,0,0,0
Lucas Moura,Midfielder,Spurs,0,0,0,0
Matip,Defender,Liverpool,0,0,0,2
Maupay,Forward,Everton,0,0,1,0
Ogbonna,Defender,West Ham,0,0,0,1
Paquetá,Midfielder,West Ham,0,0,0,1
Phillips,Defender,Liverpool,0,0,0,1
Richards,Defender,Crystal Palace,0,0,0,3
Romeu,Midfielder,Southampton,0,0,0,4
Sergio Gómez,Defender,Man City,0,0,0,0
Stanislas,Midfielder,Bournemouth,0,0,0,1
Summerville,Midfielder,Leeds,0,0,0,2
Vinagre,Defender,Everton,0,0,0,0
Young,Defender,Aston Villa,0,0,0,1
Areola,Goalkeeper,West Ham,0,0,0,2
Bajcetic,Midfielder,Liverpool,0,0,0,0
Bednarek,Defender,Aston Villa,0,0,0,6
Bevan,Defender,Bournemouth,0,0,0,1
Biancone,Defender,Nottm Forest,0,0,0,1
Cafú,Midfielder,Nottm Forest,0,0,0,0
Campbell,Midfielder,Wolves,0,0,0,0
Clark,Midfielder,Liverpool,0,0,0,0
Coventry,Midfielder,West Ham,0,0,0,0
Diogo Jota,Forward,Liverpool,0,0,0,0
Diop,Defender,Fulham,0,0,0,1
Doherty,Defender,Spurs,0,0,0,0
Downes,Midfielder,West Ham,0,0,0,0
Drameh,Defender,Leeds,0,0,0,3
Ebiowei,Midfielder,Crystal Palace,0,0,0,0
Edozie,Midfielder,Southampton,0,0,0,0
Francois,Midfielder,Fulham,0,0,0,0
Fábio Vieira,Midfielder,Arsenal,0,0,0,1
Garnacho,Midfielder,Man Utd,0,0,0,0
Gilmour,Midfielder,Brighton,0,0,0,0
Godfrey,Defender,Everton,0,0,0,0
Gueye,Midfielder,Everton,0,0,0,0
Kalajdžić,Forward,Wolves,0,0,0,0
Keane,Defender,Everton,0,0,0,1
Krafth,Defender,Newcastle,0,0,0,0
Lowe,Midfielder,Bournemouth,0,0,0,0
Maitland-Niles,Midfielder,Southampton,0,0,0,0
Marcondes,Midfielder,Bournemouth,0,0,0,1
Mighten,Midfielder,Nottm Forest,0,0,0,0
Mina,Defender,Everton,0,0,0,1
Phillips,Midfielder,Man City,0,0,0,0
Praet,Midfielder,Leicester,0,0,0,2
Redmond,Midfielder,Southampton,0,0,0,0
Ritchie,Defender,Newcastle,0,0,0,0
Solomon,Midfielder,Fulham,0,0,0,1
Spence,Defender,Spurs,0,0,0,0
Stephens,Defender,Bournemouth,0,0,0,2
Thiago,Midfielder,Liverpool,0,0,0,1
Van Hecke,Defender,Brighton,0,0,0,0
Vinícius,Forward,Fulham,0,0,0,0
Wan-Bissaka,Defender,Man Utd,0,0,0,0
Willian,Midfielder,Fulham,0,0,0,1
Ablade,Forward,Fulham,0,0,0,0
Adrián,Goalkeeper,Liverpool,0,0,0,0
Aguerd,Defender,West Ham,0,0,0,0
Ajer,Defender,Brentford,0,0,0,0
Akanji,Defender,Man City,0,0,0,0
Albrighton,Midfielder,Leicester,0,0,0,0
Allan,Midfielder,Everton,0,0,0,0
Alonso,Defender,Chelsea,0,0,0,0
Alzate,Midfielder,Brighton,0,0,0,0
Amad,Midfielder,Man Utd,0,0,0,0
Ampadu,Defender,Chelsea,0,0,0,0
André Gomes,Midfielder,Everton,0,0,0,0
Arrizabalaga,Goalkeeper,Chelsea,0,0,0,0
Arter,Midfielder,Nottm Forest,0,0,0,0
Arthur,Midfielder,Liverpool,0,0,0,0
Ashby,Defender,West Ham,0,0,0,0
Aubameyang,Forward,Chelsea,0,0,0,0
Augustinsson,Defender,Aston Villa,0,0,0,0
Austin,Goalkeeper,Spurs,0,0,0,0
B.Williams,Defender,Man Utd,0,0,0,0
Badé,Defender,Nottm Forest,0,0,0,0
Bailly,Defender,Man Utd,0,0,0,0
Balcombe,Goalkeeper,Brentford,0,0,0,0
Barkley,Midfielder,Chelsea,0,0,0,0
Bate,Midfielder,Leeds,0,0,0,0
Begović,Goalkeeper,Everton,0,0,0,0
Benteke,Forward,Crystal Palace,0,0,0,0
Bergwijn,Midfielder,Spurs,0,0,0,0
Bertrand,Defender,Leicester,0,0,0,0
Bidstrup,Midfielder,Brentford,0,0,0,0
Boly,Defender,Nottm Forest,0,0,0,0
Branthwaite,Defender,Everton,0,0,0,0
Brooks,Midfielder,Bournemouth,0,0,0,0
Brunt,Defender,Leicester,0,0,0,0
Bryan,Defender,Fulham,0,0,0,0
Bryan,Midfielder,Spurs,0,0,0,0
Bueno,Defender,Wolves,0,0,0,0
Butland,Goalkeeper,Crystal Palace,0,0,0,0
Caballero,Goalkeeper,Southampton,0,0,0,0
Caleta-Car,Defender,Southampton,0,0,0,0
Calvert-Lewin,Forward,Everton,0,0,0,0
Canós,Defender,Brentford,0,0,0,0
Carson,Goalkeeper,Man City,0,0,0,0
Cavaleiro,Midfielder,Fulham,0,0,0,0
Chamberlain,Midfielder,Liverpool,0,0,0,0
Chambers,Defender,Liverpool,0,0,0,0
Chiquinho,Midfielder,Wolves,0,0,0,0
Choudhury,Midfielder,Leicester,0,0,0,0
Chukwuemeka,Midfielder,Chelsea,0,0,0,0
Clark,Defender,Newcastle,0,0,0,0
Clarke,Defender,Brighton,0,0,0,0
Coleman,Defender,Everton,0,0,0,0
Cooper,Defender,Leeds,0,0,0,0
Cundle,Midfielder,Wolves,0,0,0,0
Cédric,Defender,Arsenal,0,0,0,0
Dallas,Defender,Leeds,0,0,0,0
Darlow,Goalkeeper,Newcastle,0,0,0,0
Davies,Defender,Liverpool,0,0,0,0
Davis,Forward,Aston Villa,0,0,0,0
Dawson,Defender,West Ham,0,0,0,0
Delap,Forward,Man City,0,0,0,0
Dembélé,Midfielder,Bournemouth,0,0,0,0
Dennis,Goalkeeper,Bournemouth,0,0,0,0
Devine,Midfielder,Spurs,0,0,0,0
Dräger,Defender,Nottm Forest,0,0,0,0
Dubravka,Goalkeeper,Man Utd,0,0,0,0
Dummett,Defender,Newcastle,0,0,0,0
El Ghazi,Midfielder,Aston Villa,0,0,0,0
Enciso,Forward,Brighton,0,0,0,0
Fabio Silva,Forward,Wolves,0,0,0,0
Faes,Defender,Leicester,0,0,0,0
Ferguson,Defender,Crystal Palace,0,0,0,0
Ferguson,Forward,Brighton,0,0,0,0
Fernández,Defender,Newcastle,0,0,0,0
Firpo,Defender,Leeds,0,0,0,0
Forss,Forward,Brentford,0,0,0,0
Forster,Goalkeeper,Spurs,0,0,0,0
Garner,Midfielder,Everton,0,0,0,0
Gayle,Forward,Newcastle,0,0,0,0
Gazzaniga,Goalkeeper,Fulham,0,0,0,0
Gbamin,Midfielder,Everton,0,0,0,0
Gnonto,Forward,Leeds,0,0,0,0
Gomes,Midfielder,Man City,0,0,0,0
Goode,Defender,Brentford,0,0,0,0
Gray,Midfielder,Leeds,0,0,0,0
Guilbert,Defender,Aston Villa,0,0,0,0
Gyabi,Midfielder,Leeds,0,0,0,0
H.Davies,Goalkeeper,Liverpool,0,0,0,0
Hammond,Midfielder,Nottm Forest,0,0,0,0
Harris,Midfielder,Fulham,0,0,0,0
Hause,Defender,Aston Villa,0,0,0,0
Heaton,Goalkeeper,Man Utd,0,0,0,0
Hendrick,Midfielder,Newcastle,0,0,0,0
Hennessey,Goalkeeper,Nottm Forest,0,0,0,0
Hill,Defender,Bournemouth,0,0,0,0
Hjelde,Defender,Leeds,0,0,0,0
Hodge,Midfielder,Wolves,0,0,0,0
Hudson-Odoi,Midfielder,Chelsea,0,0,0,0
Iqbal,Midfielder,Man Utd,0,0,0,0
Iroegbunam,Midfielder,Aston Villa,0,0,0,0
Iversen,Goalkeeper,Leicester,0,0,0,0
Johnstone,Goalkeeper,Crystal Palace,0,0,0,0
Jones,Defender,Man Utd,0,0,0,0
Jones,Midfielder,Liverpool,0,0,0,0
Keita,Midfielder,Liverpool,0,0,0,0
Kelleher,Goalkeeper,Liverpool,0,0,0,0
Kenedy,Defender,Chelsea,0,0,0,0
Kesler Hayden,Defender,Aston Villa,0,0,0,0
Klaesson,Goalkeeper,Leeds,0,0,0,0
Knight,Midfielder,Man City,0,0,0,0
Knockaert,Midfielder,Fulham,0,0,0,0
Konaté,Defender,Liverpool,0,0,0,0
Kongolo,Defender,Fulham,0,0,0,0
Kovár,Goalkeeper,Man Utd,0,0,0,0
Kozłowski,Midfielder,Brighton,0,0,0,0
Kurzawa,Defender,Fulham,0,0,0,0
Laporte,Defender,Man City,0,0,0,0
Larios,Defender,Southampton,0,0,0,0
Laryea,Defender,Nottm Forest,0,0,0,0
Lascelles,Defender,Newcastle,0,0,0,2
Lewis,Defender,Newcastle,0,0,0,0
Lindelöf,Defender,Man Utd,0,0,0,0
Lis,Goalkeeper,Southampton,0,0,0,0
Livramento,Defender,Southampton,0,0,0,0
Lolley,Midfielder,Nottm Forest,0,0,0,0
Manquillo,Defender,Newcastle,0,0,0,0
Marquinhos,Midfielder,Arsenal,0,0,0,0
Masuaku,Defender,West Ham,0,0,0,0
Matthews,Goalkeeper,Crystal Palace,0,0,0,0
Mbe Soh,Defender,Nottm Forest,0,0,0,0
Mbete,Defender,Man City,0,0,0,0
McArthur,Midfielder,Crystal Palace,0,0,0,0
McAtee,Midfielder,Man City,0,0,0,0
McCarthy,Goalkeeper,Southampton,0,0,0,0
Mendy,Midfielder,Leicester,0,0,0,0
Mills,Midfielder,Everton,0,0,0,0
Moder,Midfielder,Brighton,0,0,0,0
Mosquera,Defender,Wolves,0,0,0,0
Muniz,Forward,Fulham,0,0,0,0
Nakamba,Midfielder,Aston Villa,0,0,0,0
Nelson,Midfielder,Arsenal,0,0,0,0
Nkounkou,Defender,Everton,0,0,0,0
Ojeda,Midfielder,Nottm Forest,0,0,0,0
Oko-Flex,Midfielder,West Ham,0,0,0,0
Olsen,Goalkeeper,Aston Villa,0,0,0,0
Onomah,Midfielder,Fulham,0,0,0,0
Ortega,Goalkeeper,Man City,0,0,0,0
Pablo Marí,Defender,Arsenal,0,0,0,0
Panzo,Defender,Nottm Forest,0,0,0,0
Parrott,Forward,Spurs,0,0,0,0
Pellistri,Midfielder,Man Utd,0,0,0,0
Phillips,Midfielder,Crystal Palace,0,0,0,0
Philogene-Bidace,Midfielder,Aston Villa,0,0,0,0
Pinnock,Defender,Brentford,0,0,0,0
Plange,Forward,Crystal Palace,0,0,0,0
Pépé,Midfielder,Arsenal,0,0,0,0
R.Williams,Defender,Liverpool,0,0,0,0
Rak-Sakyi,Midfielder,Crystal Palace,0,0,0,0
Ramsay,Defender,Liverpool,0,0,0,0
Randolph,Goalkeeper,West Ham,0,0,0,0
Raphinha,Midfielder,Leeds,0,0,0,0
Reguilón,Defender,Spurs,0,0,0,0
Renan Lodi,Defender,Nottm Forest,0,0,0,8
Ricardo,Defender,Leicester,0,0,0,0
Richards,Defender,Nottm Forest,0,0,0,0
Richards,Midfielder,Brighton,0,0,0,0
Riedewald,Midfielder,Crystal Palace,0,0,0,0
Roberts,Defender,Brighton,0,0,0,0
Roberts,Midfielder,Leeds,0,0,0,0
Robles,Goalkeeper,Leeds,0,0,0,0
Rodney,Midfielder,Crystal Palace,0,0,0,0
Rodon,Defender,Spurs,0,0,0,0
Ronan,Midfielder,Wolves,0,0,0,0
Rothwell,Midfielder,Bournemouth,0,0,0,0
Samba,Goalkeeper,Nottm Forest,0,0,0,0
Sanson,Midfielder,Aston Villa,0,0,0,0
Sarmiento,Midfielder,Brighton,0,0,0,0
Sarr,Defender,Chelsea,0,0,0,0
Sarr,Midfielder,Spurs,0,0,0,0
Saydee,Forward,Bournemouth,0,0,0,0
Scarlett,Forward,Spurs,0,0,0,0
Scherpen,Goalkeeper,Brighton,0,0,0,0
Schmeichel,Goalkeeper,Leicester,0,0,0,0
Shackleton,Midfielder,Leeds,0,0,0,0
Shelvey,Midfielder,Newcastle,0,0,0,0
Skipp,Midfielder,Spurs,0,0,0,0
Smallbone,Midfielder,Southampton,0,0,0,0
Smith,Midfielder,Arsenal,0,0,0,0
Smith,Goalkeeper,Wolves,0,0,0,0
Smithies,Goalkeeper,Leicester,0,0,0,0
Stacey,Defender,Bournemouth,0,0,0,4
Steele,Goalkeeper,Brighton,0,0,0,0
Steffen,Goalkeeper,Man City,0,0,0,0
Stevens,Defender,Brentford,0,0,0,0
Strakosha,Goalkeeper,Brentford,0,0,0,0
Söyüncü,Defender,Leicester,0,0,0,0
Tanganga,Defender,Spurs,0,0,0,0
Tavares,Defender,Arsenal,0,0,0,0
Taylor,Forward,Nottm Forest,0,0,0,0
Tella,Midfielder,Southampton,0,0,0,0
Telles,Defender,Man Utd,0,0,0,0
Thompson,Defender,Brentford,0,0,0,0
Tomkins,Defender,Crystal Palace,0,0,0,0
Torreira,Midfielder,Arsenal,0,0,0,0
Toti,Defender,Wolves,0,0,0,0
Townsend,Midfielder,Everton,0,0,0,0
Traoré,Midfielder,Aston Villa,0,0,0,0
Turner,Goalkeeper,Arsenal,0,0,0,0
Vale,Midfielder,Chelsea,0,0,0,0
Valery,Defender,Southampton,0,0,0,2
Van den Berg,Defender,Liverpool,0,0,0,0
Vestergaard,Defender,Leicester,0,0,0,0
Vlasic,Midfielder,West Ham,0,0,0,0
Walcott,Midfielder,Southampton,0,0,0,0
Warrington,Midfielder,Everton,0,0,0,0
Welch,Defender,Everton,0,0,0,0
Werner,Forward,Chelsea,0,0,0,0
White,Midfielder,Spurs,0,0,0,0
Whitworth,Goalkeeper,Crystal Palace,0,0,0,0
Wilson,Midfielder,Fulham,0,0,0,0
Wilson-Esbrand,Defender,Man City,0,0,0,0
Winks,Midfielder,Spurs,0,0,0,0
Xande Silva,Midfielder,Nottm Forest,0,0,0,0
Zakaria,Midfielder,Chelsea,0,0,0,0
Šarkić,Goalkeeper,Wolves,0,0,0,0
Maguire,Defender,Man Utd,0,0,0,6
Senesi,Defender,Bournemouth,0,0,0,11
Shaw,Defender,Man Utd,0,0,0,6
Thomas,Defender,Leicester,0,0,0,6
